角度: 0 , 计算的夹角:, 89.99 , surface_angle:, 47.42
角度: 1 , 计算的夹角:, 89.57 , surface_angle:, 47.08
角度: 2 , 计算的夹角:, 89.14 , surface_angle:, 46.74
角度: 3 , 计算的夹角:, 88.71 , surface_angle:, 46.42
角度: 4 , 计算的夹角:, 88.28 , surface_angle:, 46.09
角度: 5 , 计算的夹角:, 87.85 , surface_angle:, 45.77
角度: 6 , 计算的夹角:, 87.43 , surface_angle:, 45.46
角度: 7 , 计算的夹角:, 87.00 , surface_angle:, 45.16
角度: 8 , 计算的夹角:, 86.57 , surface_angle:, 44.86
角度: 9 , 计算的夹角:, 86.15 , surface_angle:, 44.56
角度: 10 , 计算的夹角:, 85.72 , surface_angle:, 44.27
角度: 11 , 计算的夹角:, 85.29 , surface_angle:, 43.99
角度: 12 , 计算的夹角:, 84.87 , surface_angle:, 43.71
角度: 13 , 计算的夹角:, 84.44 , surface_angle:, 43.44
角度: 14 , 计算的夹角:, 84.01 , surface_angle:, 43.18
角度: 15 , 计算的夹角:, 83.59 , surface_angle:, 42.92
角度: 16 , 计算的夹角:, 83.16 , surface_angle:, 42.67
角度: 17 , 计算的夹角:, 82.74 , surface_angle:, 42.42
角度: 18 , 计算的夹角:, 82.31 , surface_angle:, 42.19
角度: 19 , 计算的夹角:, 81.89 , surface_angle:, 41.95
角度: 20 , 计算的夹角:, 81.47 , surface_angle:, 41.73
角度: 21 , 计算的夹角:, 81.04 , surface_angle:, 41.51
角度: 22 , 计算的夹角:, 80.62 , surface_angle:, 41.30
角度: 23 , 计算的夹角:, 80.19 , surface_angle:, 41.09
角度: 24 , 计算的夹角:, 79.77 , surface_angle:, 40.89
角度: 25 , 计算的夹角:, 79.35 , surface_angle:, 40.70
角度: 26 , 计算的夹角:, 78.92 , surface_angle:, 40.52
角度: 27 , 计算的夹角:, 78.50 , surface_angle:, 40.34
角度: 28 , 计算的夹角:, 78.07 , surface_angle:, 40.17
角度: 29 , 计算的夹角:, 77.65 , surface_angle:, 40.00
角度: 30 , 计算的夹角:, 77.23 , surface_angle:, 39.85
角度: 31 , 计算的夹角:, 76.80 , surface_angle:, 39.70
角度: 32 , 计算的夹角:, 76.38 , surface_angle:, 39.55
角度: 33 , 计算的夹角:, 75.95 , surface_angle:, 39.42
角度: 34 , 计算的夹角:, 75.53 , surface_angle:, 39.29
角度: 35 , 计算的夹角:, 75.10 , surface_angle:, 39.17
角度: 36 , 计算的夹角:, 74.68 , surface_angle:, 39.05
角度: 37 , 计算的夹角:, 74.25 , surface_angle:, 38.95
角度: 38 , 计算的夹角:, 73.83 , surface_angle:, 38.85
角度: 39 , 计算的夹角:, 73.40 , surface_angle:, 38.76
角度: 40 , 计算的夹角:, 72.98 , surface_angle:, 38.67
角度: 41 , 计算的夹角:, 72.55 , surface_angle:, 38.60
角度: 42 , 计算的夹角:, 72.12 , surface_angle:, 38.53
角度: 43 , 计算的夹角:, 71.69 , surface_angle:, 38.47
角度: 44 , 计算的夹角:, 71.27 , surface_angle:, 38.41
角度: 45 , 计算的夹角:, 70.84 , surface_angle:, 38.37
角度: 46 , 计算的夹角:, 70.41 , surface_angle:, 38.33
角度: 47 , 计算的夹角:, 69.98 , surface_angle:, 38.30
角度: 48 , 计算的夹角:, 69.55 , surface_angle:, 38.28
角度: 49 , 计算的夹角:, 69.12 , surface_angle:, 38.27
角度: 50 , 计算的夹角:, 68.69 , surface_angle:, 38.27
角度: 51 , 计算的夹角:, 68.26 , surface_angle:, 38.27
角度: 52 , 计算的夹角:, 67.82 , surface_angle:, 38.28
角度: 53 , 计算的夹角:, 67.39 , surface_angle:, 38.30
角度: 54 , 计算的夹角:, 66.96 , surface_angle:, 38.33
角度: 55 , 计算的夹角:, 66.53 , surface_angle:, 38.37
角度: 56 , 计算的夹角:, 66.09 , surface_angle:, 38.42
角度: 57 , 计算的夹角:, 65.66 , surface_angle:, 38.47
角度: 58 , 计算的夹角:, 65.23 , surface_angle:, 38.54
角度: 59 , 计算的夹角:, 64.80 , surface_angle:, 38.61
角度: 60 , 计算的夹角:, 64.36 , surface_angle:, 38.70
