ID,Category,Elements,Support_or_material,Reaction_or_application,Title,Journal,Year,Publisher,DOI,Accessible_URL,Open_PDF_URL,PDF_Status,Local_PDF_Path,Chinese_Introduction,Classification_Reason
E0052,Experimental,V; Co; Ni,graphene,oxygen reduction reaction,Defective Graphene on the Transition-Metal Surface: Formation of Efficient Bifunctional Catalysts for Oxygen Evolution/Reduction Reactions in Alkaline Media,ACS Applied Materials & Interfaces,2019,American Chemical Society,10.1021/acsami.9b02588,https://doi.org/10.1021/acsami.9b02588,,no_open_pdf_in_metadata,,"本文关注 V, Co, Ni 单原子位点在 graphene 等载体上的催化行为，主要应用于oxygen reduction reaction。 文章以材料制备、结构表征和催化性能测试为核心，通常结合谱学/显微表征确认单原子分散。 摘要要点：Supported single-atom catalysts (SACs) have attracted enormous attention because of their high selectivity, activity, and efficiency, compared to conventional nanoparticles and metal bulk catalysts. However, all of these unique merits rely on the stability of",题名/摘要包含合成、制备、表征、测试或实验-理论联合研究信息，按实验论文归类；其中计算部分视作机理支持。
E0177,Experimental,Ga,graphene,oxygen reduction reaction,Density Functional Theory Studies of Heteroatom-Doped Graphene-like GaN Monolayers as Electrocatalysts for Oxygen Evolution and Reduction,ACS Applied Nano Materials,2021,American Chemical Society,10.1021/acsanm.1c01119,https://doi.org/10.1021/acsanm.1c01119,,no_open_pdf_in_metadata,,"本文关注 Ga 单原子位点在 graphene 等载体上的催化行为，主要应用于oxygen reduction reaction。 文章以材料制备、结构表征和催化性能测试为核心，通常结合谱学/显微表征确认单原子分散。 摘要要点：Single-atom catalysts (SACs) supported on two-dimensional (2D) nanomaterials with high activity for the oxygen evolution reaction (OER) and the oxygen reduction reaction (ORR) are highly desirable for renewable energy applications. Herein, we systemically inve",题名/摘要包含合成、制备、表征、测试或实验-理论联合研究信息，按实验论文归类；其中计算部分视作机理支持。
E0205,Experimental,Fe; Ni,N-doped graphene,CO2 reduction/conversion,Orbital coupling of hetero-diatomic nickel-iron site for bifunctional electrocatalysis of CO2 reduction and oxygen evolution,Nature Communications,2021,Nature Portfolio,10.1038/s41467-021-24052-5,https://doi.org/10.1038/s41467-021-24052-5,https://www.nature.com/articles/s41467-021-24052-5.pdf,open_url_not_pdf,,"本文关注 Fe, Ni 单原子位点在 N-doped graphene 等载体上的催化行为，主要应用于CO2 reduction/conversion。 文章以材料制备、结构表征和催化性能测试为核心，通常结合谱学/显微表征确认单原子分散。 摘要要点：Abstract While inheriting the exceptional merits of single atom catalysts, diatomic site catalysts (DASCs) utilize two adjacent atomic metal species for their complementary functionalities and synergistic actions. Herein, a DASC consisting of nickel-iron heter",题名/摘要包含合成、制备、表征、测试或实验-理论联合研究信息，按实验论文归类；其中计算部分视作机理支持。
E0282,Experimental,Mixed_or_unclear,graphene,oxygen reduction reaction,Modeling Hydrogen and Oxygen Evolution Reactions on Single Atom Catalysts with Density Functional Theory: Role of the Functional,Advanced Theory and Simulations,2022,Wiley,10.1002/adts.202200513,https://doi.org/10.1002/adts.202200513,,no_open_pdf_in_metadata,,"本文关注 Mixed_or_unclear 单原子位点在 graphene 等载体上的催化行为，主要应用于oxygen reduction reaction。 文章以材料制备、结构表征和催化性能测试为核心，通常结合谱学/显微表征确认单原子分散。 摘要要点：Abstract The most widely used approach to predict catalytic activity is density functional theory, whose results however depend on the adopted exchange‐correlation functional. In this work, the role played by the functional in predicting the activity of single",题名/摘要包含合成、制备、表征、测试或实验-理论联合研究信息，按实验论文归类；其中计算部分视作机理支持。
E0312,Experimental,Sc; Ti; V; Cr; Mn; Fe; Co; Ni; Cu; Pd; Pt,N-doped graphene,oxygen reduction reaction,Superoxo and Peroxo Complexes on Single-Atom Catalysts: Impact on the Oxygen Evolution Reaction,ACS Catalysis,2022,American Chemical Society,10.1021/acscatal.2c03020,https://doi.org/10.1021/acscatal.2c03020,,no_open_pdf_in_metadata,,"本文关注 Sc, Ti, V, Cr, Mn, Fe, Co, Ni, Cu, Pd, Pt 单原子位点在 N-doped graphene 等载体上的催化行为，主要应用于oxygen reduction reaction。 文章以材料制备、结构表征和催化性能测试为核心，通常结合谱学/显微表征确认单原子分散。 摘要要点：In this work, we demonstrate the essential role of the formation of superoxo and peroxo complexes on single-atom catalysts (SACs), an aspect that is often neglected in the study of these systems. By means of density functional theory calculations, we consider",题名/摘要包含合成、制备、表征、测试或实验-理论联合研究信息，按实验论文归类；其中计算部分视作机理支持。
E0396,Experimental,La,graphene,oxygen evolution reaction,Lanthanum-Doped Graphene for Electrocatalytic Reduction of Nitrogen Monoxide,The Journal of Physical Chemistry C,2023,American Chemical Society,10.1021/acs.jpcc.3c01366,https://doi.org/10.1021/acs.jpcc.3c01366,https://www.osti.gov/servlets/purl/2007442,downloaded_open_access_pdf,Experimental/La/pdfs/E0396_Lanthanum-Doped_Graphene_for_Electrocatalytic_Reduction_of_Nitrogen_Monoxide.pdf,"本文关注 La 单原子位点在 graphene 等载体上的催化行为，主要应用于oxygen evolution reaction。 文章以材料制备、结构表征和催化性能测试为核心，通常结合谱学/显微表征确认单原子分散。 摘要要点：Electrocatalytic conversion of nitrogen oxides is a promising approach to address nitrogen pollution in underground water. Nitrogen oxides, such as nitrate and nitrite, can be reduced to N2 and NH3 over an electrocatalyst, with NO as the key intermediate, subs",题名/摘要包含合成、制备、表征、测试或实验-理论联合研究信息，按实验论文归类；其中计算部分视作机理支持。
E0470,Experimental,Co; Ni; Pt,graphene oxide,oxygen evolution reaction,A universal and scalable transformation of bulk metals into single-atom catalysts in ionic liquids,Proceedings of the National Academy of Sciences,2024,National Academy of Sciences,10.1073/pnas.2319136121,https://doi.org/10.1073/pnas.2319136121,https://pmc.ncbi.nlm.nih.gov/articles/PMC10927526/pdf/pnas.202319136.pdf,open_url_not_pdf,,"本文关注 Co, Ni, Pt 单原子位点在 graphene oxide 等载体上的催化行为，主要应用于oxygen evolution reaction。 文章以材料制备、结构表征和催化性能测试为核心，通常结合谱学/显微表征确认单原子分散。 摘要要点：Single-atom catalysts (SACs) with maximized metal atom utilization and intriguing properties are of utmost importance for energy conversion and catalysis science. However, the lack of a straightforward and scalable synthesis strategy of SACs on diverse support",题名/摘要包含合成、制备、表征、测试或实验-理论联合研究信息，按实验论文归类；其中计算部分视作机理支持。
E0477,Experimental,Fe; Co; Zn,N-doped graphene,oxygen reduction reaction,Asymmetric Coordination of Bimetallic Fe–Co Single-Atom Pairs toward Enhanced Bifunctional Activity for Rechargeable Zinc–Air Batteries,ACS Nano,2024,American Chemical Society,10.1021/acsnano.4c01342,https://doi.org/10.1021/acsnano.4c01342,,no_open_pdf_in_metadata,,"本文关注 Fe, Co, Zn 单原子位点在 N-doped graphene 等载体上的催化行为，主要应用于oxygen reduction reaction。 文章以材料制备、结构表征和催化性能测试为核心，通常结合谱学/显微表征确认单原子分散。 摘要要点：The advancement of rechargeable zinc–air batteries (RZABs) faces challenges from the pronounced polarization and sluggish kinetics of oxygen reduction and evolution reactions (ORR and OER). Single-atom catalysts offer an effective solution, yet their insuffici",题名/摘要包含合成、制备、表征、测试或实验-理论联合研究信息，按实验论文归类；其中计算部分视作机理支持。
E0541,Experimental,Mixed_or_unclear,graphene,oxygen reduction reaction,Machine Learning-Assisted Study of REN x C 6– x -Doped Graphene as Potential Electrocatalysts for Oxygen Electrode Reactions,Langmuir,2024,American Chemical Society,10.1021/acs.langmuir.4c00803,https://doi.org/10.1021/acs.langmuir.4c00803,,no_open_pdf_in_metadata,,"本文关注 Mixed_or_unclear 单原子位点在 graphene 等载体上的催化行为，主要应用于oxygen reduction reaction。 文章以材料制备、结构表征和催化性能测试为核心，通常结合谱学/显微表征确认单原子分散。 摘要要点：In the application of renewable energy, the oxidation–reduction reaction (ORR) and oxygen evolution reaction (OER) are two crucial reactions. Single-atom catalysts (SACs) based on metal-doped graphene have been widely employed due to their high activity and hi",题名/摘要包含合成、制备、表征、测试或实验-理论联合研究信息，按实验论文归类；其中计算部分视作机理支持。
E0586,Experimental,Fe,N-doped graphene,oxygen reduction reaction,Substantial Impact of Spin State Evolution in OER/ORR Catalyzed by Fe–N–C,ACS Catalysis,2024,American Chemical Society,10.1021/acscatal.3c06122,https://doi.org/10.1021/acscatal.3c06122,,no_open_pdf_in_metadata,,"本文关注 Fe 单原子位点在 N-doped graphene 等载体上的催化行为，主要应用于oxygen reduction reaction。 文章以材料制备、结构表征和催化性能测试为核心，通常结合谱学/显微表征确认单原子分散。 摘要要点：The Fe-embedded N-doped graphene (Fe–N–C) is the most representative single atom catalyst (SAC) that has shown great potentiality in electrocatalysis, such as oxygen reduction reaction (ORR) and oxygen evolution reaction (OER). However, the active moiety of Fe",题名/摘要包含合成、制备、表征、测试或实验-理论联合研究信息，按实验论文归类；其中计算部分视作机理支持。
