ID,Category,Elements,Support_or_material,Reaction_or_application,Title,Journal,Year,Publisher,DOI,Accessible_URL,Open_PDF_URL,PDF_Status,Local_PDF_Path,Chinese_Introduction,Classification_Reason
E0001,Experimental,Pt,graphene,hydrogen evolution reaction,"Formation, Stabilities, and Electronic and Catalytic Performance of Platinum Catalyst Supported on Non-Metal-Doped Graphene",The Journal of Physical Chemistry C,2013,American Chemical Society,10.1021/jp400202e,https://doi.org/10.1021/jp400202e,,no_open_pdf_in_metadata,,"本文关注 Pt 单原子位点在 graphene 等载体上的催化行为，主要应用于hydrogen evolution reaction。 文章以材料制备、结构表征和催化性能测试为核心，通常结合谱学/显微表征确认单原子分散。 摘要要点：The geometry, electronic structure, and catalytic properties of Pt catalyst supported on the nonmetal doped-graphene (denoted as D-graphene, where D represents the B, Si, O and P dopant) substrates are investigated using the first-principles method. The nonmet",题名/摘要包含合成、制备、表征、测试或实验-理论联合研究信息，按实验论文归类；其中计算部分视作机理支持。
E0002,Experimental,Pt,graphene,hydrogen evolution reaction,Single-atom Catalysis Using Pt/Graphene Achieved through Atomic Layer Deposition,Scientific Reports,2013,Nature Portfolio,10.1038/srep01775,https://doi.org/10.1038/srep01775,https://www.nature.com/articles/srep01775.pdf,open_url_not_pdf,,"本文关注 Pt 单原子位点在 graphene 等载体上的催化行为，主要应用于hydrogen evolution reaction。 文章以材料制备、结构表征和催化性能测试为核心，通常结合谱学/显微表征确认单原子分散。 摘要要点：Platinum-nanoparticle-based catalysts are widely used in many important chemical processes and automobile industries. Downsizing catalyst nanoparticles to single atoms is highly desirable to maximize their use efficiency, however, very challenging. Here we rep",题名/摘要包含合成、制备、表征、测试或实验-理论联合研究信息，按实验论文归类；其中计算部分视作机理支持。
E0003,Experimental,Mixed_or_unclear,graphene,oxygen reduction reaction,Direct Observation of a Long-Lived Single-Atom Catalyst Chiseling Atomic Structures in Graphene,Nano Letters,2014,American Chemical Society,10.1021/nl403327u,https://doi.org/10.1021/nl403327u,,no_open_pdf_in_metadata,,"本文关注 Mixed_or_unclear 单原子位点在 graphene 等载体上的催化行为，主要应用于oxygen reduction reaction。 文章以材料制备、结构表征和催化性能测试为核心，通常结合谱学/显微表征确认单原子分散。 摘要要点：Fabricating stable functional devices at the atomic scale is an ultimate goal of nanotechnology. In biological processes, such high-precision operations are accomplished by enzymes. A counterpart molecular catalyst that binds to a solid-state substrate would b",题名/摘要包含合成、制备、表征、测试或实验-理论联合研究信息，按实验论文归类；其中计算部分视作机理支持。
E0004,Experimental,Fe,graphene,hydrogen evolution reaction,Direct in situ observations of single Fe atom catalytic processes and anomalous diffusion at graphene edges,Proceedings of the National Academy of Sciences,2014,National Academy of Sciences,10.1073/pnas.1412962111,https://doi.org/10.1073/pnas.1412962111,https://www.pnas.org/content/pnas/111/44/15641.full.pdf,download_failed: HTTPError,,"本文关注 Fe 单原子位点在 graphene 等载体上的催化行为，主要应用于hydrogen evolution reaction。 文章以材料制备、结构表征和催化性能测试为核心，通常结合谱学/显微表征确认单原子分散。 摘要要点：Single-atom catalysts are of great interest because of their high efficiency. In the case of chemically deposited sp(2) carbon, the implementation of a single transition metal atom for growth can provide crucial insight into the formation mechanisms of graphen",识别到合成、表征、电化学/催化测试或 operando/in situ 等实验关键词；若含 DFT，则视作实验论文的机理支持。
E0006,Experimental,Ir,graphene oxide,CO2 reduction/conversion,Conversion of CO 2 and C 2 H 6 to Propanoic Acid on an Iridium-Modified Graphene Oxide Surface: Quantum-Chemical Investigation,Industrial & Engineering Chemistry Research,2015,American Chemical Society,10.1021/ie503982t,https://doi.org/10.1021/ie503982t,,no_open_pdf_in_metadata,,"本文关注 Ir 单原子位点在 graphene oxide 等载体上的催化行为，主要应用于CO2 reduction/conversion。 文章以材料制备、结构表征和催化性能测试为核心，通常结合谱学/显微表征确认单原子分散。 摘要要点：Using density-functional theory, we performed calculations on a single-atom catalyst (SAC) comprising an iridium atom on a modified graphene oxide (Ir1-GO) surface to investigate the conversion of CO2 and C2H6 molecules to propanoic acid. The great catalytic a",识别到合成、表征、电化学/催化测试或 operando/in situ 等实验关键词；若含 DFT，则视作实验论文的机理支持。
E0007,Experimental,Pd,graphene,oxygen reduction reaction,"Single-Atom Pd 1 /Graphene Catalyst Achieved by Atomic Layer Deposition: Remarkable Performance in Selective Hydrogenation of 1,3-Butadiene",Journal of the American Chemical Society,2015,American Chemical Society,10.1021/jacs.5b06485,https://doi.org/10.1021/jacs.5b06485,,no_open_pdf_in_metadata,,本文关注 Pd 单原子位点在 graphene 等载体上的催化行为，主要应用于oxygen reduction reaction。 文章以材料制备、结构表征和催化性能测试为核心，通常结合谱学/显微表征确认单原子分散。 摘要要点：We reported that atomically dispersed Pd on graphene can be fabricated using the atomic layer deposition technique. Aberration-corrected high-angle annular dark-field scanning transmission electron microscopy and X-ray absorption fine structure spectroscopy bo,题名/摘要包含合成、制备、表征、测试或实验-理论联合研究信息，按实验论文归类；其中计算部分视作机理支持。
E0010,Experimental,Pt,graphene,oxygen reduction reaction,Tuning selectivity of electrochemical reactions by atomically dispersed platinum catalyst,Nature Communications,2016,Nature Portfolio,10.1038/ncomms10922,https://doi.org/10.1038/ncomms10922,https://www.nature.com/articles/ncomms10922.pdf,open_url_not_pdf,,"本文关注 Pt 单原子位点在 graphene 等载体上的催化行为，主要应用于oxygen reduction reaction。 文章以材料制备、结构表征和催化性能测试为核心，通常结合谱学/显微表征确认单原子分散。 摘要要点：Maximum atom efficiency as well as distinct chemoselectivity is expected for electrocatalysis on atomically dispersed (or single site) metal centres, but its realization remains challenging so far, because carbon, as the most widely used electrocatalyst suppor",题名/摘要包含合成、制备、表征、测试或实验-理论联合研究信息，按实验论文归类；其中计算部分视作机理支持。
E0011,Experimental,Pt,graphene,hydrogen evolution reaction,Bottom-up precise synthesis of stable platinum dimers on graphene,Nature Communications,2017,Nature Portfolio,10.1038/s41467-017-01259-z,https://doi.org/10.1038/s41467-017-01259-z,https://www.nature.com/articles/s41467-017-01259-z.pdf,open_url_not_pdf,,"本文关注 Pt 单原子位点在 graphene 等载体上的催化行为，主要应用于hydrogen evolution reaction。 文章以材料制备、结构表征和催化性能测试为核心，通常结合谱学/显微表征确认单原子分散。 摘要要点：Abstract Supported metal clusters containing only a few atoms are of great interest. Progress has been made in synthesis of metal single-atom catalysts. However, precise synthesis of metal dimers on high-surface area support remains a grand challenge. Here, we",题名/摘要包含合成、制备、表征、测试或实验-理论联合研究信息，按实验论文归类；其中计算部分视作机理支持。
E0016,Experimental,Co,graphene,hydrogen evolution reaction,Atomic engineering of high-density isolated Co atoms on graphene with proximal-atom controlled reaction selectivity,Nature Communications,2018,Nature Portfolio,10.1038/s41467-018-05754-9,https://doi.org/10.1038/s41467-018-05754-9,https://www.nature.com/articles/s41467-018-05754-9.pdf,open_url_not_pdf,,本文关注 Co 单原子位点在 graphene 等载体上的催化行为，主要应用于hydrogen evolution reaction。 文章以材料制备、结构表征和催化性能测试为核心，通常结合谱学/显微表征确认单原子分散。 摘要要点：Abstract Controllable synthesis of single atom catalysts (SACs) with high loading remains challenging due to the aggregation tendency of metal atoms as the surface coverage increases. Here we report the synthesis of graphene supported cobalt SACs (Co 1 /G) wit,题名/摘要包含合成、制备、表征、测试或实验-理论联合研究信息，按实验论文归类；其中计算部分视作机理支持。
E0018,Experimental,Fe; Co; Cu; Pt,graphene,oxygen reduction reaction,Definitive Structural Identification toward Molecule‐Type Sites within 1D and 2D Carbon‐Based Catalysts,Advanced Energy Materials,2018,Wiley,10.1002/aenm.201800436,https://doi.org/10.1002/aenm.201800436,,no_open_pdf_in_metadata,,"本文关注 Fe, Co, Cu, Pt 单原子位点在 graphene 等载体上的催化行为，主要应用于oxygen reduction reaction。 文章以材料制备、结构表征和催化性能测试为核心，通常结合谱学/显微表征确认单原子分散。 摘要要点：Abstract Developing facile preparation routes and atomic‐level characterization methods for single‐atom catalysts is highly desirable but still challenging. Herein, a general strategy is proposed to construct transition metal single atoms within 1D and 2D carb",识别到合成、表征、电化学/催化测试或 operando/in situ 等实验关键词；若含 DFT，则视作实验论文的机理支持。
