ID,Category,Elements,Support_or_material,Reaction_or_application,Title,Journal,Year,Publisher,DOI,Accessible_URL,Open_PDF_URL,PDF_Status,Local_PDF_Path,Chinese_Introduction,Classification_Reason
T0005,Theoretical,Co; Ni; Cu; Pd; Pt,carbon nitride,oxygen evolution reaction,Graphitic carbon nitride supported single-atom catalysts for efficient oxygen evolution reaction,Chemical Communications,2016,Royal Society of Chemistry,10.1039/c6cc07049c,https://doi.org/10.1039/c6cc07049c,,no_open_pdf_in_metadata,,"本文关注 Co, Ni, Cu, Pd, Pt 单原子位点在 carbon nitride 等载体上的催化行为，主要应用于oxygen evolution reaction。 文章以理论计算、稳定性分析或反应路径筛选为主，可用于建立结构-活性关系和筛选候选催化剂。 摘要要点：Based on DFT calculations, we propose a TM@CN hybrid structure, in which the single-atom transition metal (TM = Pt, Pd, Co, Ni, Cu) is supported by graphitic carbon nitride (g-CN), as a promising high-performance OER catalyst. Our work reveals the importance o",题名/摘要显示以 DFT、第一性原理或计算筛选为主，未识别到实验合成/表征关键词。
T0023,Theoretical,V; Fe; Co; Ni; Cu; Pd,N-doped graphene,oxygen evolution reaction,Transition-metal single atoms in nitrogen-doped graphenes as efficient active centers for water splitting: a theoretical study,Physical Chemistry Chemical Physics,2019,Royal Society of Chemistry,10.1039/c8cp06755d,https://doi.org/10.1039/c8cp06755d,https://www.osti.gov/servlets/purl/1543800,downloaded_open_access_pdf,Theoretical/V/pdfs/T0023_Transition-metal_single_atoms_in_nitrogen-doped_graphenes_as_efficient_active_centers_for_.pdf,"本文关注 V, Fe, Co, Ni, Cu, Pd 单原子位点在 N-doped graphene 等载体上的催化行为，主要应用于oxygen evolution reaction。 文章以理论计算、稳定性分析或反应路径筛选为主，可用于建立结构-活性关系和筛选候选催化剂。 摘要要点：Highly active single-atom catalysts (SACs) have recently been intensively studied for their potential in the hydrogen evolution reaction (HER) and the oxygen evolution reaction (OER). Due to the existence of many such SAC systems, a general understanding of th",题名明确包含 computational、DFT、screening、theoretical 或 first-principles 等词，按纯理论计算归类。
T0033,Theoretical,V; Fe; Cu; Rh; Ir,graphene,oxygen reduction reaction,"Rational prediction of multifunctional bilayer single atom catalysts for the hydrogen evolution, oxygen evolution and oxygen reduction reactions",Nanoscale,2020,Royal Society of Chemistry,10.1039/d0nr05202g,https://doi.org/10.1039/d0nr05202g,,no_open_pdf_in_metadata,,"本文关注 V, Fe, Cu, Rh, Ir 单原子位点在 graphene 等载体上的催化行为，主要应用于oxygen reduction reaction。 文章以理论计算、稳定性分析或反应路径筛选为主，可用于建立结构-活性关系和筛选候选催化剂。 摘要要点：Bimetallic atom catalysts (BACs), which can exhibit remarkable catalytic performance compared with single atom catalysts (SACs) due to their higher metal loading and the synergy between two metal atoms, have attracted great attention in research. Herein, by me",题名/摘要明确显示 DFT、第一性原理、理论洞察或计算筛选为主，按纯理论计算归类。
T0059,Theoretical,Mixed_or_unclear,carbon/other support,oxygen reduction reaction,ZIF-67-based catalysts for oxygen evolution reaction,Nanoscale,2021,Royal Society of Chemistry,10.1039/d1nr01669e,https://doi.org/10.1039/d1nr01669e,https://pubs.rsc.org/en/content/articlepdf/2021/nr/d1nr01669e,downloaded_open_access_pdf,Theoretical/Mixed_or_unclear/pdfs/T0059_ZIF-67-based_catalysts_for_oxygen_evolution_reaction.pdf,"本文关注 Mixed_or_unclear 单原子位点在 carbon/other support 等载体上的催化行为，主要应用于oxygen reduction reaction。 文章以理论计算、稳定性分析或反应路径筛选为主，可用于建立结构-活性关系和筛选候选催化剂。 摘要要点：As a new type of crystalline porous material, the imidazole zeolite framework (ZIF) has attracted widespread attention due to its ultra-high surface area, large pore volume, and unique advantage of easy functionalization. Developing different methods to contro",题名/摘要显示以 DFT、第一性原理或计算筛选为主，未识别到实验合成/表征关键词。
T0076,Theoretical,Fe,N-doped graphene,oxygen evolution reaction,Orbital Dependence in Single-Atom Electrocatalytic Reactions,The Journal of Physical Chemistry Letters,2022,American Chemical Society,10.1021/acs.jpclett.2c01381,https://doi.org/10.1021/acs.jpclett.2c01381,,no_open_pdf_in_metadata,,本文关注 Fe 单原子位点在 N-doped graphene 等载体上的催化行为，主要应用于oxygen evolution reaction。 文章以理论计算、稳定性分析或反应路径筛选为主，可用于建立结构-活性关系和筛选候选催化剂。 摘要要点：Transition metal single-atom catalysts supported on N-doped graphene (TM–N–C) could serve as an ideal model for studying orbital dependence in electrocatalytic reactions because the atom on the catalytic active site has discrete single-atom-like orbitals. In t,题名/摘要明确显示 DFT、第一性原理、理论洞察或计算筛选为主，按纯理论计算归类。
T0080,Theoretical,Pd,carbon/other support,oxygen reduction reaction,Single‐Atom Pd‐N 4 Catalysis for Stable Low‐Overpotential Lithium‐Oxygen Battery,Small,2022,Wiley,10.1002/smll.202204559,https://doi.org/10.1002/smll.202204559,,no_open_pdf_in_metadata,,"本文关注 Pd 单原子位点在 carbon/other support 等载体上的催化行为，主要应用于oxygen reduction reaction。 文章以理论计算、稳定性分析或反应路径筛选为主，可用于建立结构-活性关系和筛选候选催化剂。 摘要要点：Abstract The critical challenge for Li‐O 2 batteries lies in the large charge overpotential, leading to undesirable side reactions and inferior cycle stability. Single‐atom catalysts have shown promising prospects in expediting the kinetics of oxygen evolution",题名/摘要显示以 DFT、第一性原理或计算筛选为主，未识别到实验合成/表征关键词。
T0097,Theoretical,Pt; Sn; In,carbon/other support,oxygen evolution reaction,Elucidation of the Active Site for the Oxygen Evolution Reaction on a Single Pt Atom Supported on Indium Tin Oxide,The Journal of Physical Chemistry Letters,2023,American Chemical Society,10.1021/acs.jpclett.3c00160,https://doi.org/10.1021/acs.jpclett.3c00160,https://escholarship.org/content/qt8pg1p8f1/qt8pg1p8f1.pdf?t=rs310s,downloaded_open_access_pdf,Theoretical/Pt/pdfs/T0097_Elucidation_of_the_Active_Site_for_the_Oxygen_Evolution_Reaction_on_a_Single_Pt_Atom_Suppo.pdf,"本文关注 Pt, Sn, In 单原子位点在 carbon/other support 等载体上的催化行为，主要应用于oxygen evolution reaction。 文章以理论计算、稳定性分析或反应路径筛选为主，可用于建立结构-活性关系和筛选候选催化剂。 摘要要点：Single-atom catalysts (SACs) have attracted attention for their high catalytic activity and selectivity, but the nature of their active sites under realistic reaction conditions, involving various ligands, is not well-understood. In this study, we use density",题名/摘要明确显示 DFT、第一性原理、理论洞察或计算筛选为主，按纯理论计算归类。
T0104,Theoretical,Mixed_or_unclear,N-doped graphene,oxygen evolution reaction,Insights into the Oxygen Evolution Reaction on Graphene-Based Single-Atom Catalysts from First-Principles-Informed Microkinetic Modeling,ACS Catalysis,2023,American Chemical Society,10.1021/acscatal.3c00474,https://doi.org/10.1021/acscatal.3c00474,https://www.osti.gov/servlets/purl/2007855,downloaded_open_access_pdf,Theoretical/Mixed_or_unclear/pdfs/T0104_Insights_into_the_Oxygen_Evolution_Reaction_on_Graphene-Based_Single-Atom_Catalysts_from_F.pdf,"本文关注 Mixed_or_unclear 单原子位点在 N-doped graphene 等载体上的催化行为，主要应用于oxygen evolution reaction。 文章以理论计算、稳定性分析或反应路径筛选为主，可用于建立结构-活性关系和筛选候选催化剂。 摘要要点：Single-atom transition metals embedded in nitrogen-doped graphene have emerged as promising electrocatalysts due to their high activity and low material cost. These materials have been shown to catalyze a variety of electrochemical reactions, but their active",题名明确包含 computational、DFT、screening、theoretical 或 first-principles 等词，按纯理论计算归类。
T0117,Theoretical,Fe; Co; Ni; Cu,N-doped graphene,oxygen evolution reaction,Synergy of dual-atom catalysts deviated from the scaling relationship for oxygen evolution reaction,Nature Communications,2023,Nature Portfolio,10.1038/s41467-023-40177-1,https://doi.org/10.1038/s41467-023-40177-1,https://www.nature.com/articles/s41467-023-40177-1.pdf,open_url_not_pdf,,"本文关注 Fe, Co, Ni, Cu 单原子位点在 N-doped graphene 等载体上的催化行为，主要应用于oxygen evolution reaction。 文章以理论计算、稳定性分析或反应路径筛选为主，可用于建立结构-活性关系和筛选候选催化剂。 摘要要点：Dual-atom catalysts, particularly those with heteronuclear active sites, have the potential to outperform the well-established single-atom catalysts for oxygen evolution reaction, but the underlying mechanistic understanding is still lacking. Herein, a large-s",题名/摘要明确显示 DFT、第一性原理、理论洞察或计算筛选为主，按纯理论计算归类。
T0119,Theoretical,Mixed_or_unclear,carbon nitride,oxygen reduction reaction,Theoretical prediction of emerging high-performance trifunctional ORR/OER/HER single-atom catalysts: transition metals anchored into π–π conjugated graphitic carbon nitride (g-C 10 N 3 ),Physical Chemistry Chemical Physics,2023,Royal Society of Chemistry,10.1039/d3cp04142e,https://doi.org/10.1039/d3cp04142e,,no_open_pdf_in_metadata,,"本文关注 Mixed_or_unclear 单原子位点在 carbon nitride 等载体上的催化行为，主要应用于oxygen reduction reaction。 文章以理论计算、稳定性分析或反应路径筛选为主，可用于建立结构-活性关系和筛选候选催化剂。 摘要要点：, and even at a high temperature of 500 K, the structures of these two catalysts have no significant distortion after 2 ps simulations. Our calculations will provide clear guidance for future experimental synthesis and design of such catalysts.",题名明确包含 computational、DFT、screening、theoretical 或 first-principles 等词，按纯理论计算归类。
