element	E_M	E_HO	E_O	E_HOO	E_HOO2	ΔE1(eV)	ΔE2(eV)	ΔE3_HOO(eV)	ΔE4_HOO(eV)	ΔE3_HOO2(eV)	ΔE4_HOO2(eV)	ΔE_HOO−HO(eV)	ΔE_HOO2−HO(eV)									
Ag	-0.19848508 	-10.56520504 	-4.50016622 	-14.64042911 	-14.79023254 	 0.464660039999998 	 3.14456885999999 	 3.83568596999999 	 3.61056403 	 3.68588253999999 	 3.76036746 	 3.37102593 	 3.22122249999999 			 0.464660039999998 	 2.67990881999999 	 0.69111711 	 0.59431403000001 	 2.67990881999999 	 1.56990881999999 	-1.56990881999999 
Au	-0.18516512 	-10.57716681 	-4.84930579 	-14.61974971 	-14.90730247 	 0.43937831 	 2.78210932999999 	 3.84304540999999 	 3.60320459 	 3.55549264999999 	 3.89075734999999 	 3.40366709999999 	 3.11611433999999 			 0.43937831 	 2.34273101999999 	 1.06093608 	 0.58695459000001 	 2.34273101999999 	 1.23273101999999 	-1.23273101999999 
Bi	-1.32504068 	-12.30182778 	-7.56873934 	-16.37181918 	-16.40908877 	-0.145407099999999 	 1.20255133999999 	 3.2308515 	 4.21539849999999 	 3.19358190999999 	 4.25266809 	 3.3762586 	 3.33898900999999 			-0.145407099999999 	 1.34795843999999 	 2.02830016000001 	 1.1991485 	 2.02830016000001 	 0.91830016000001 	-0.91830016000001 
Cd	-0.01340752 	-9.36140309 	-3.28382654 	-13.68713029 	-13.68604196 	 1.48338442999999 	 4.17583097999999 	 4.60390722999999 	 2.84234277 	 4.60499555999999 	 2.84125444 	 3.12052279999999 	 3.12161112999999 			 1.48338442999999 	 2.69244655 	 0.42807625 	-0.17390722999999 	 2.69244655 	 1.58244655 	-1.58244655 
Co	-1.85749788 	-13.50352276 	-7.67484146 	-17.77348959 	-17.80285088 	-0.814644879999999 	 1.62890641999999 	 2.36163828999999 	 5.08461171 	 2.33227699999999 	 5.113973 	 3.17628316999999 	 3.14692187999999 			-0.814644879999999 	 2.44355129999999 	 0.73273187 	 2.06836171000001 	 2.44355129999999 	 1.33355129999999 	-1.33355129999999 
Co_pv	-1.70869268 	-13.43126128 	-6.40088262 	-17.70432136 	-17.73117623 	-0.891188599999999 	 2.75406005999999 	 2.28200131999999 	 5.16424868 	 2.25514644999999 	 5.19110354999999 	 3.17318991999999 	 3.14633504999999 			-0.891188599999999 	 3.64524865999999 	-0.47205874 	 2.14799868000001 	 3.64524865999999 	 2.53524865999999 	-2.53524865999999 
Co_sv	-1.78626331 	-13.57203705 	-9.06283552 	-17.84760577 	-17.87766456 	-0.95439374 	 0.169677789999998 	 2.21628753999999 	 5.22996246 	 2.18622874999999 	 5.26002125 	 3.17068127999999 	 3.14062248999999 			-0.95439374 	 1.12407153 	 2.04660974999999 	 2.21371246000001 	 2.21371246000001 	 1.10371246000001 	-1.10371246000001 
Cr_pv	-5.44397204 	-17.10542204 	-9.97518668 	-21.20557022 	-21.31297973 	-0.830070000000001 	 2.91503535999999 	 2.51603182 	 4.93021818 	 2.40862231 	 5.03762769 	 3.34610182 	 3.23869231 			-0.830070000000001 	 3.74510535999999 	-0.39900353999999 	 1.91396818 	 3.74510535999999 	 2.63510535999999 	-2.63510535999999 
Cu	-0.24242048 	-11.42546977 	-5.6090596 	-15.44473101 	-15.57441078 	-0.35166929 	 2.07961087999999 	 3.07531946999999 	 4.37093053 	 2.94563969999999 	 4.5006103 	 3.42698875999999 	 3.29730898999999 			-0.35166929 	 2.43128016999999 	 0.99570859 	 1.35468053000001 	 2.43128016999999 	 1.32128016999999 	-1.32128016999999 
Fe	-3.31484417 	-14.97250888 	-10.74816989 	-18.98139546 	-22.42952757 	-0.826284709999999 	 0.01292428 	 2.61107870999999 	 4.83517129 	-0.837053400000002 	 8.2833034 	 3.43736341999999 	-1.07686900000025E-02 			-0.826284709999999 	 0.839208989999999 	 2.59815442999999 	 1.81892129000001 	 2.59815442999999 	 1.48815442999999 	-1.48815442999999 
