element	E_M	E_HO	E_O	E_HOO	E_HOO2	delta_E1(eV)	delta_E2(eV)	delta_E3_HOO(eV)	delta_E4_HOO(eV)	delta_E3_HOO2(eV)	delta_E4_HOO2(eV)	delta_E_HOO−HO(eV)	delta_E_HOO2−HO(eV)									
Ag	-0.19848535 	-10.54191274 	-4.48730707 	-14.61587803 	-14.7685364 	 0.487952609999998 	 3.15742827999999 	 3.86023731999999 	 3.58601267999999 	 3.70757894999999 	 3.73867105 	 3.37228471 	 3.21962633999999 			 0.487952609999998 	 2.66947566999999 	 0.70280904 	 0.56976268000001 	 2.66947566999999 	 1.55947566999999 	-1.55947566999999 
Au	-0.18516516 	-10.55089223 	-4.83340745 	-14.59189317 	-14.88275666 	 0.465652929999999 	 2.79800770999999 	 3.87090198999999 	 3.57534801 	 3.58003849999999 	 3.8662115 	 3.40524905999999 	 3.11438556999999 			 0.465652929999999 	 2.33235477999999 	 1.07289428 	 0.55909801000001 	 2.33235477999999 	 1.22235477999999 	-1.22235477999999 
Bi	-1.32504057 	-12.26982103 	-7.5512009 	-16.32929853 	-16.36542826 	-0.113400459999999 	 1.22008966999999 	 3.27337204 	 4.17287795999999 	 3.23724230999999 	 4.20900769 	 3.38677249999999 	 3.35064276999999 			-0.113400459999999 	 1.33349012999999 	 2.05328237000001 	 1.15662796 	 2.05328237000001 	 0.94328237000001 	-0.94328237000001 
Cd	-0.01340768 	-9.3447652 	-3.27024046 	-13.6657165 	-13.665036 	 1.50002248 	 4.18941721999999 	 4.62532117999999 	 2.82092882 	 4.62600167999999 	 2.82024832 	 3.12529869999999 	 3.12597919999999 			 1.50002248 	 2.68939473999999 	 0.435903959999999 	-0.19532117999999 	 2.68939473999999 	 1.57939473999999 	-1.57939473999999 
Co	-1.85749796 	-13.48483011 	-8.9782042 	-17.74262298 	-17.77481173 	-0.795952150000001 	 0.325543759999998 	 2.39250497999999 	 5.05374502 	 2.36031622999999 	 5.08593377 	 3.18845712999999 	 3.15626838 			-0.795952150000001 	 1.12149591 	 2.06696121999999 	 2.03749502000001 	 2.06696121999999 	 0.956961219999992 	-0.956961219999992 
Co_pv	-1.70869278 	-13.41264904 	-8.89802004 	-17.67342088 	-17.70318598 	-0.87257626 	 0.256922739999998 	 2.3129019 	 5.13334809999999 	 2.28313679999999 	 5.1631132 	 3.18547816 	 3.15571305999999 			-0.87257626 	 1.129499 	 2.05597916 	 2.1170981 	 2.1170981 	 1.0070981 	-1.0070981 
Co_sv	-1.78626398 	-13.55303919 	-9.0495747 	-17.81667772 	-17.84840015 	-0.935395210000001 	 0.182939279999998 	 2.24721625999999 	 5.19903374 	 2.21549382999999 	 5.23075616999999 	 3.18261146999999 	 3.15088904 			-0.935395210000001 	 1.11833449 	 2.06427697999999 	 2.18278374000001 	 2.18278374000001 	 1.07278374000001 	-1.07278374000001 
Cr_pv	-5.44397214 	-17.07769139 	-12.63167542 	-21.17039062 	-21.27398587 	-0.802339249999999 	 0.258546719999998 	 2.55121151999999 	 4.89503848 	 2.44761626999999 	 4.99863373 	 3.35355076999999 	 3.24995551999999 			-0.802339249999999 	 1.06088597 	 2.29266479999999 	 1.87878848000001 	 2.29266479999999 	 1.18266479999999 	-1.18266479999999 
Cu	-0.24242054 	-11.40888651 	-5.59806386 	-15.41572949 	-15.54841437 	-0.335085970000001 	 2.09060667999999 	 3.10432104999999 	 4.34192895 	 2.97163616999999 	 4.47461383 	 3.43940701999999 	 3.30672213999999 			-0.335085970000001 	 2.42569264999999 	 1.01371437 	 1.32567895000001 	 2.42569264999999 	 1.31569264999999 	-1.31569264999999 
Fe	-3.31685152 	-14.95427724 	-10.73646517 	-22.40198931 	-22.39929576 	-0.80604572 	 2.66363499999986E-02 	-0.807507790000002 	 8.25375779 	-0.804814240000002 	 8.25106424 	-1.46207000000231E-03 	 1.23147999999773E-03 			-0.80604572 	 0.832682069999999 	-0.834144140000001 	 5.23750779 	 5.23750779 	 4.12750779 	-4.12750779 
Fe_pv	-3.22255435 	-14.81110736 	-10.68766121 	-18.8514609 	-22.39540784 	-0.75717301 	-1.88568600000014E-02 	 2.64872344999999 	 4.79752655 	-0.895223490000002 	 8.34147349 	 3.40589645999999 	-0.138050480000002 			-0.75717301 	 0.738316149999999 	 2.66758030999999 	 1.78127655000001 	 2.66758030999999 	 1.55758030999999 	-1.55758030999999 
Ga	-0.22439326 	-12.90529178 	-6.79403183 	-16.83748186 	-16.94854278 	-1.84951852 	 0.876611429999999 	 1.66454139999999 	 5.7817086 	 1.55348047999999 	 5.89276952 	 3.51405991999999 	 3.40299899999999 			-1.84951852 	 2.72612995 	 0.787929969999991 	 2.76545860000001 	 2.76545860000001 	 1.65545860000001 	-1.65545860000001 
Hf	-3.33172817 	-17.15873772 	-14.46816581 	-27.24145908 	-27.2420557 	-2.99562955 	-3.69018764 	-5.63210091 	 13.07835091 	-5.63269753 	 13.07894753 	-2.63647136 	-2.63706798 			-2.99562955 	-0.69455809 	-1.94191327 	 10.06210091 	 10.06210091 	 8.95210091 	-8.95210091 
Hg	-0.01132787 	-8.57993977 	-2.52442678 	-13.35419419 	-13.35308634 	 2.2627681 	 4.93315108999999 	 4.93476368 	 2.51148631999999 	 4.93587152999999 	 2.51037847 	 2.67199557999999 	 2.67310342999999 			 2.2627681 	 2.67038298999999 	 1.61259000000946E-03 	-0.50476368 	 2.67038298999999 	 1.56038298999999 	-1.56038298999999 
In_d	-0.21667067 	-12.40339596 	-6.22371743 	-16.41395884 	-16.49352993 	-1.35534529 	 1.43920323999999 	 2.08034182999999 	 5.36590817 	 2.00077073999999 	 5.44547926 	 3.43568711999999 	 3.35611602999999 			-1.35534529 	 2.79454852999999 	 0.64113859 	 2.34965817000001 	 2.79454852999999 	 1.68454852999999 	-1.68454852999999 
Ir	-1.50545445 	-13.09731989 	-9.05782004 	-17.58955316 	-17.63637584 	-0.76048544 	-0.106115589999999 	 2.19353128999999 	 5.25271871 	 2.14670860999999 	 5.29954139 	 2.95401672999999 	 2.90719404999999 			-0.76048544 	 0.654369850000001 	 2.29964687999999 	 2.23646871000001 	 2.29964687999999 	 1.18964687999999 	-1.18964687999999 
Mn_pv	-5.14995509 	-16.39222038 	-12.44484036 	-20.75803853 	-24.26266427 	-0.410885290000003 	 0.151364729999998 	 2.66954655999999 	 4.77670344 	-0.835079180000001 	 8.28132918 	 3.08043185 	-0.424193889999997 			-0.410885290000003 	 0.562250020000001 	 2.51818182999999 	 1.76045344000001 	 2.51818182999999 	 1.40818182999999 	-1.40818182999999 
