element	E_M	E_HO	E_O	E_HOO	E_HOO2	delta_E1(eV)	delta_E2(eV)	delta_E3_HOO(eV)	delta_E4_HOO(eV)	delta_E3_HOO2(eV)	delta_E4_HOO2(eV)	delta_E_HOO−HO(eV)	delta_E_HOO2−HO(eV)									
Ag	-0.03793066 	-10.5676102 	-4.02977775 	-14.64212845 	-14.7920877 	 0.301700459999999 	 3.45440290999999 	 3.67343220999999 	 3.77281778999999 	 3.52347295999999 	 3.92277703999999 	 3.37173175 	 3.2217725 			 0.301700459999999 	 3.15270244999999 	 0.2190293 	 0.75656779000001 	 3.15270244999999 	 2.04270244999999 	-2.04270244999999 
Au	-0.03623153 	-10.57804281 	-4.53237743 	-14.61996838 	-14.90784179 	 0.28956872 	 2.95010409999999 	 3.69389314999999 	 3.75235685 	 3.40601973999999 	 4.04023026 	 3.40432442999999 	 3.11645101999999 			 0.28956872 	 2.66053537999999 	 0.74378905 	 0.73610685000001 	 2.66053537999999 	 1.55053537999999 	-1.55053537999999 
Bi	-0.08407859 	-11.70014613 	-7.41440246 	-15.92473925 	-15.86315592 	-0.78468754 	 0.115926129999999 	 2.43696933999999 	 5.00928066 	 2.49855266999999 	 4.94769733 	 3.22165687999999 	 3.28324020999999 			-0.78468754 	 0.900613669999999 	 2.32104320999999 	 1.99303066000001 	 2.32104320999999 	 1.21104320999999 	-1.21104320999999 
Cd	-0.01340774 	-9.1546453 	-3.22112994 	-13.49923629 	-13.49861585 	 1.69014243999999 	 4.23852779999999 	 4.79180144999999 	 2.65444855 	 4.79242188999999 	 2.65382811 	 3.10165900999999 	 3.10227944999999 			 1.69014243999999 	 2.54838536 	 0.55327365 	-0.36180144999999 	 2.54838536 	 1.43838536 	-1.43838536 
Co	-0.14014606 	-12.34599918 	-7.77050086 	-16.84243266 	-16.84115689 	-1.37447312 	-0.1841048 	 1.57534339999999 	 5.8709066 	 1.57661916999999 	 5.86963083 	 2.94981651999999 	 2.95109228999999 			-1.37447312 	 1.19036832 	 1.75944819999999 	 2.85465660000001 	 2.85465660000001 	 1.74465660000001 	-1.74465660000001 
Co_pv	-0.13958022 	-12.32051729 	-7.7189029 	-16.80152254 	-16.69611195 	-1.34955707 	-0.13307268 	 1.61568767999999 	 5.83056232 	 1.72109826999999 	 5.72515173 	 2.96524474999999 	 3.07065534 			-1.34955707 	 1.21648439 	 1.74876035999999 	 2.81431232000001 	 2.81431232000001 	 1.70431232000001 	-1.70431232000001 
Co_sv	-0.15666329 	-12.40277524 	-7.85191983 	-16.90836889 	-16.82277871 	-1.41473195 	-0.24900654 	 1.5259244 	 5.92032559999999 	 1.61151457999999 	 5.83473542 	 2.94065635 	 3.02624652999999 			-1.41473195 	 1.16572541 	 1.77493094 	 2.9040756 	 2.9040756 	 1.7940756 	-1.7940756 
Cr_pv	-0.49182721 	-13.59659497 	-10.6520569 	-23.63751459 	-23.63628897 	-2.27338776 	-2.71397969 	-4.86805738 	 12.3143073799999 	-4.86683176 	 12.31308176 	-2.59466961999999 	-2.593444 			-2.27338776 	-0.44059193 	-2.15407769 	 9.29805738 	 9.29805738 	 8.18805738 	-8.18805738 
Cu	-0.037768 	-11.42709487 	-5.30649455 	-15.4456474 	-15.5754254 	-0.55794687 	 2.17752344999999 	 2.86975059999999 	 4.5764994 	 2.73997259999999 	 4.7062774 	 3.42769746999999 	 3.29791946999999 			-0.55794687 	 2.73547031999999 	 0.69222715 	 1.56024940000001 	 2.73547031999999 	 1.62547031999999 	-1.62547031999999 
Fe	-0.20302704 	-12.69774567 	-8.6679227 	-17.42458974 	-21.45472575 	-1.66333863 	-1.01864566 	 1.05606729999999 	 6.39018269999999 	-2.97406871 	 10.42031871 	 2.71940592999999 	-1.31073008 			-1.66333863 	 0.64469297 	 2.07471295999999 	 3.37393270000001 	 3.37393270000001 	 2.26393270000001 	-2.26393270000001 
Fe_pv	-0.20375117 	-12.71606004 	-8.72791688 	-17.46588423 	-21.56252419 	-1.68092887 	-1.07791571 	 1.01549693999999 	 6.43075306 	-3.08114302 	 10.52739302 	 2.69642580999999 	-1.40021415 			-1.68092887 	 0.60301316 	 2.09341264999999 	 3.41450306000001 	 3.41450306000001 	 2.30450306000001 	-2.30450306000001 
Fe_sv	-0.22066645 	-12.78400859 	-8.82848597 	-17.56290158 	-21.69969337 	-1.73196214 	-1.16156952 	 0.935394869999999 	 6.51085512999999 	-3.20139692 	 10.64764692 	 2.66735701 	-1.46943478 			-1.73196214 	 0.57039262 	 2.09696439 	 3.49460513 	 3.49460513 	 2.38460513 	-2.38460513 
Ga	-0.05634861 	-12.93227315 	-6.47922239 	-16.87233508 	-16.98887804 	-2.04454454 	 1.02337621999999 	 1.46164353 	 5.98460646999999 	 1.34510056999999 	 6.10114942999999 	 3.50618807 	 3.38964511 			-2.04454454 	 3.06792075999999 	 0.43826731000001 	 2.96835647 	 3.06792075999999 	 1.95792075999999 	-1.95792075999999 
Hf	-2.7044976 	-16.86304435 	-14.48766265 	-27.00632048 	-27.00711858 	-3.32716675 	-4.33691505 	-6.02419288 	 13.47044288 	-6.02499098 	 13.47124098 	-2.69702613 	-2.69782423 			-3.32716675 	-1.0097483 	-1.68727783 	 10.45419288 	 10.45419288 	 9.34419288 	-9.34419288 
Hg	-0.01132788 	-8.34378717 	-2.44196732 	-13.03924863 	-13.03879351 	 2.49892070999999 	 5.01561055999999 	 5.24970924999999 	 2.19654075 	 5.25016436999999 	 2.19608563 	 2.75078854 	 2.75124366 			 2.49892070999999 	 2.51668985 	 0.23409869 	-0.81970924999999 	 2.51668985 	 1.40668985 	-1.40668985 
In_d	-0.07158507 	-12.43236585 	-5.9097606 	-16.45147169 	-16.53543395 	-1.52940078 	 1.60807446999999 	 1.89774337999999 	 5.54850662 	 1.81378111999999 	 5.63246888 	 3.42714415999999 	 3.34318189999999 			-1.52940078 	 3.13747524999999 	 0.28966891 	 2.53225662000001 	 3.13747524999999 	 2.02747524999999 	-2.02747524999999 
Ir	-0.14560964 	-12.40727276 	-8.5923919 	-17.30532547 	-17.30967018 	-1.43028312 	-1.00053226 	 1.11791416999999 	 6.32833583 	 1.11356945999999 	 6.33268054 	 2.54819728999999 	 2.54385257999999 			-1.43028312 	 0.42975086 	 2.11844642999999 	 3.31208583000001 	 3.31208583000001 	 2.20208583000001 	-2.20208583000001 
Mn_pv	-0.31409671 	-13.12577151 	-9.7279783 	-22.64374389 	-22.64246045 	-1.9802948 	-1.96763159 	-4.05201718 	 11.49826718 	-4.05073374 	 11.49698374 	-2.07172237999999 	-2.07043894 			-1.9802948 	 1.26632099999999E-02 	-2.08438559 	 8.48201718 	 8.48201718 	 7.37201718 	-7.37201718 
