element	E_M	E_HO	E_O	E_HOO	E_HOO2	delta_E1(eV)	delta_E2(eV)	delta_E3_HOO(eV)	delta_E4_HOO(eV)	delta_E3_HOO2(eV)	delta_E4_HOO2(eV)	delta_E_HOO−HO(eV)	delta_E_HOO2−HO(eV)									
Ag	-0.0343205 	-10.51262657 	-3.9413721 	-14.40979352 	-14.54867224 	 0.353073929999999 	 3.53919839999999 	 3.90215697999999 	 3.54409302 	 3.76327825999999 	 3.68297174 	 3.54908305 	 3.41020432999999 			 0.353073929999999 	 3.18612446999999 	 0.36295858 	 0.52784302000001 	 3.18612446999999 	 2.07612446999999 	-2.07612446999999 
Au	-0.03342653 	-10.51524276 	-4.41490581 	-14.37400709 	-14.65118711 	 0.349563769999999 	 3.06477071999999 	 3.93704943999999 	 3.50920056 	 3.65986941999999 	 3.78638058 	 3.58748566999999 	 3.31030564999999 			 0.349563769999999 	 2.71520694999999 	 0.87227872 	 0.49295056000001 	 2.71520694999999 	 1.60520694999999 	-1.60520694999999 
Bi	-0.0823204 	-11.7243125 	-7.38488272 	-15.76269747 	-15.723534 	-0.8106121 	 0.143687679999999 	 2.59725292999999 	 4.84899707 	 2.63641639999999 	 4.8098336 	 3.40786502999999 	 3.44702849999999 			-0.8106121 	 0.954299779999999 	 2.45356524999999 	 1.83274707000001 	 2.45356524999999 	 1.34356524999999 	-1.34356524999999 
Cd	-0.00931466 	-9.15798551 	-3.18327631 	-13.08609251 	-13.31369213 	 1.68270914999999 	 4.27228834999999 	 5.20085214999999 	 2.24539785 	 4.97325252999999 	 2.47299747 	 3.51814299999999 	 3.29054337999999 			 1.68270914999999 	 2.5895792 	 0.928563799999999 	-0.77085214999999 	 2.5895792 	 1.4795792 	-1.4795792 
Co	-0.13548867 	-12.25080315 	-7.62455402 	-16.55934592 	-20.01747154 	-1.28393447999999 	-4.28153500000005E-02 	 1.85377275 	 5.59247724999999 	-1.60435286999999 	 9.05060286999999 	 3.13770723 	-0.32041839 			-1.28393447999999 	 1.24111912999999 	 1.8965881 	 2.57622725 	 2.57622725 	 1.46622725 	-1.46622725 
Co_pv	-0.12955083 	-12.21527384 	-7.56269784 	-16.50524851 	-19.9323221 	-1.25434301 	 1.31029899999992E-02 	 1.90193231999999 	 5.54431768 	-1.52514127 	 8.97139127 	 3.15627532999999 	-0.270798260000001 			-1.25434301 	 1.267446 	 1.88882932999999 	 2.52806768000001 	 2.52806768000001 	 1.41806768000001 	-1.41806768000001 
Co_sv	-0.13953062 	-12.29722041 	-7.68751566 	-16.61106554 	-16.51474417 	-1.32630978999999 	-0.10173504 	 1.80609507999999 	 5.64015491999999 	 1.90241644999999 	 5.54383355 	 3.13240486999999 	 3.22872623999999 			-1.32630978999999 	 1.22457474999999 	 1.90783011999999 	 2.62390492000001 	 2.62390492000001 	 1.51390492000001 	-1.51390492000001 
Cr_pv	-0.47930846 	-13.53590571 	-10.52829349 	-23.43670922 	-23.43668795 	-2.22521725 	-2.60273503 	-4.67977076 	 12.12602076 	-4.67974949 	 12.12599949 	-2.45455351 	-2.45453224 			-2.22521725 	-0.37751778 	-2.07703573 	 9.10977076 	 9.10977076 	 7.99977076 	-7.99977076 
Cu	-0.03601183 	-11.32842741 	-5.1710813 	-15.1717539 	-15.29670272 	-0.46103558 	 2.31118052999999 	 3.14188792999999 	 4.30436207 	 3.01693910999999 	 4.42931089 	 3.60292350999999 	 3.47797468999999 			-0.46103558 	 2.77221610999999 	 0.8307074 	 1.28811207000001 	 2.77221610999999 	 1.66221610999999 	-1.66221610999999 
Fe	-0.19784395 	-12.61036293 	-8.52017839 	-17.18604421 	-21.17223691 	-1.58113898 	-0.876084440000001 	 1.28942973999999 	 6.15682026 	-2.69676296 	 10.14301296 	 2.87056872 	-1.11562397999999 			-1.58113898 	 0.705054539999999 	 2.16551417999999 	 3.14057026000001 	 3.14057026000001 	 2.03057026000001 	-2.03057026000001 
Fe_pv	-0.19278885 	-12.61781133 	-8.57610861 	-17.22357162 	-21.27265377 	-1.59364248 	-0.937069760000001 	 1.24684722999999 	 6.19940277 	-2.80223492 	 10.24848492 	 2.84048970999999 	-1.20859244 			-1.59364248 	 0.656572719999999 	 2.18391698999999 	 3.18315277000001 	 3.18315277000001 	 2.07315277000001 	-2.07315277000001 
Ga	-0.05789411 	-12.89885235 	-6.39594255 	-16.81578526 	-16.81547926 	-2.00957824 	 1.10820155999999 	 1.51973884999999 	 5.92651115 	 1.52004484999999 	 5.92620515 	 3.52931709 	 3.52962308999999 			-2.00957824 	 3.11777979999999 	 0.41153729 	 2.91026115000001 	 3.11777979999999 	 2.00777979999999 	-2.00777979999999 
Hf	-2.70249081 	-16.84563919 	-14.38602482 	-26.93512559 	-26.93607351 	-3.31176838 	-4.23728401 	-5.95500477999999 	 13.4012547799999 	-5.9559527 	 13.4022027 	-2.64323639999999 	-2.64418432 			-3.31176838 	-0.92551563 	-1.71772076999999 	 10.38500478 	 10.38500478 	 9.27500477999999 	-9.27500477999999 
Hg	-0.00852557 	-8.32870252 	-2.38065701 	-12.82352074 	-12.82350937 	 2.51120304999999 	 5.07411855999999 	 5.46263482999999 	 1.98361517 	 5.46264619999999 	 1.9836038 	 2.95143178 	 2.95144314999999 			 2.51120304999999 	 2.56291551 	 0.38851627 	-1.03263482999999 	 2.56291551 	 1.45291551 	-1.45291551 
In_d	-0.06928649 	-12.44637751 	-5.88061264 	-16.31705645 	-16.41023212 	-1.54571102 	 1.63492384999999 	 2.02986003999999 	 5.41638996 	 1.93668436999999 	 5.50956563 	 3.57557105999999 	 3.48239538999999 			-1.54571102 	 3.18063486999999 	 0.39493619 	 2.40013996000001 	 3.18063486999999 	 2.07063486999999 	-2.07063486999999 
Ir	-0.13736715 	-12.35225568 	-8.45829002 	-17.08799733 	-17.10660567 	-1.38350853 	-0.874672870000001 	 1.32699981999999 	 6.11925018 	 1.30839147999999 	 6.13785852 	 2.71050834999999 	 2.69190000999999 			-1.38350853 	 0.508835659999999 	 2.20167268999999 	 3.10300018000001 	 3.10300018000001 	 1.99300018000001 	-1.99300018000001 
Mn_pv	-0.31016361 	-13.05237975 	-9.58918952 	-22.38851239 	-22.38725685 	-1.91083614 	-1.83277591 	-3.80071878 	 11.24696878 	-3.79946324 	 11.24571324 	-1.88988263999999 	-1.8886271 			-1.91083614 	 0.07806023 	-1.96794287 	 8.23071878 	 8.23071878 	 7.12071878 	-7.12071878 
Mo_sv	-0.27424412 	-13.62727358 	-11.35951066 	-24.29032882 	-24.31041468 	-2.52164946 	-3.63901654 	-5.7384547 	 13.1847047 	-5.75854056 	 13.20479056 	-3.21680524 	-3.2368911 			-2.52164946 	-1.11736708 	-2.09943816 	 10.1684547 	 10.1684547 	 9.0584547 	-9.0584547 
Nb_pv	-0.71413869 	-14.27299779 	-11.76281806 	-25.06592101 	-25.06737348 	-2.7274791 	-3.60242937 	-6.07415232 	 13.52040232 	-6.07560479 	 13.52185479 	-3.34667322 	-3.34812569 			-2.7274791 	-0.87495027 	-2.47172295 	 10.50415232 	 10.50415232 	 9.39415232 	-9.39415232 
Ni	-0.098319 	-11.88892145 	-6.6188355 	-16.04037089 	-16.03990517 	-0.95922245 	 0.925733499999998 	 2.33557811 	 5.11067188999999 	 2.33604382999999 	 5.11020617 	 3.29480056 	 3.29526627999999 			-0.95922245 	 1.88495595 	 1.40984461 	 2.09442189 	 2.09442189 	 0.984421889999999 	-0.984421889999999 
Ni_pv	-0.08116646 	-11.89582743 	-6.64127481 	-16.04956796 	-16.04777525 	-0.98328097 	 0.886141649999999 	 2.30922849999999 	 5.1370215 	 2.31102120999999 	 5.13522879 	 3.29250946999999 	 3.29430217999999 			-0.98328097 	 1.86942262 	 1.42308684999999 	 2.12077150000001 	 2.12077150000001 	 1.01077150000001 	-1.01077150000001 
Os	-0.42678196 	-13.18995233 	-10.23531988 	-18.40883875 	-23.15706469 	-1.93179037 	-2.36228792 	 0.295573209999997 	 7.15067679 	-4.45265273 	 11.89890273 	 2.22736357999999 	-2.52086235999999 			-1.93179037 	-0.43049755 	 2.65786113 	 4.13442679 	 4.13442679 	 3.02442679 	-3.02442679 
Os_pv	-0.44034855 	-13.23869114 	-10.38432586 	-18.49635689 	-23.21620424 	-1.96696259 	-2.49772731 	 0.221621659999996 	 7.22462834 	-4.49822569 	 11.94447569 	 2.18858424999999 	-2.5312631 			-1.96696259 	-0.53076472 	 2.71934897 	 4.20837834 	 4.20837834 	 3.09837834 	-3.09837834 
Pb	-0.07105691 	-12.0033841 	-8.04749173 	-16.00151727 	-15.99917303 	-1.10094719 	-0.530184820000001 	 2.34716963999999 	 5.09908036 	 2.34951387999999 	 5.09673612 	 3.44811682999999 	 3.45046106999999 			-1.10094719 	 0.570762369999999 	 2.87735445999999 	 2.08283036000001 	 2.87735445999999 	 1.76735445999999 	-1.76735445999999 
Pd	-1.50238873 	-11.75245343 	-6.0142779 	-15.9690437 	-16.17048477 	 0.5813153 	 2.93436082999999 	 3.81097502999999 	 3.63527497 	 3.60953395999999 	 3.83671604 	 3.22965972999999 	 3.02821865999999 			 0.5813153 	 2.35304552999999 	 0.8766142 	 0.61902497000001 	 2.35304552999999 	 1.24304552999999 	-1.24304552999999 
Pd_pv	-1.52516587 	-11.75462322 	-6.0126051 	-15.97161445 	-16.17401169 	 0.60192265 	 2.95881076999999 	 3.83118141999999 	 3.61506858 	 3.62878417999999 	 3.81746582 	 3.22925876999999 	 3.02686152999999 			 0.60192265 	 2.35688811999999 	 0.87237065 	 0.59881858000001 	 2.35688811999999 	 1.24688811999999 	-1.24688811999999 
Pt	-0.20181274 	-11.58227048 	-6.64006628 	-15.88603513 	-15.92218471 	-0.549077740000001 	 1.00799645999999 	 2.59340760999999 	 4.85284239 	 2.55725802999999 	 4.88899197 	 3.14248534999999 	 3.10633576999999 			-0.549077740000001 	 1.55707419999999 	 1.58541115 	 1.83659239000001 	 1.83659239000001 	 0.72659239000001 	-0.72659239000001 
Pt_pv	-0.19371262 	-11.62621484 	-6.72812933 	-15.94675447 	-15.98052373 	-0.60112222 	 0.911833289999999 	 2.52458814999999 	 4.92166185 	 2.49081888999999 	 4.95543111 	 3.12571036999999 	 3.09194110999999 			-0.60112222 	 1.51295551 	 1.61275485999999 	 1.90541185000001 	 1.90541185000001 	 0.79541185000001 	-0.79541185000001 
Re	-1.03143006 	-14.11136808 	-11.81030616 	-24.51958567 	-24.53133612 	-2.24855802 	-3.3326261 	-5.21052561 	 12.65677561 	-5.22227606 	 12.66852606 	-2.96196759 	-2.97371804 			-2.24855802 	-1.08406808 	-1.87789951 	 9.64052561 	 9.64052561 	 8.53052561 	-8.53052561 
Rh	-0.97987861 	-12.26073679 	-7.58677434 	-16.66891228 	-16.85747502 	-0.449478179999999 	 0.839354269999999 	 2.58859632999999 	 4.85765367 	 2.40003358999999 	 5.04621640999999 	 3.03807450999999 	 2.84951176999999 			-0.449478179999999 	 1.28883245 	 1.74924205999999 	 1.84140367000001 	 1.84140367000001 	 0.73140367000001 	-0.73140367000001 
Rh_pv	-0.99979136 	-12.26536745 	-7.60709851 	-16.68260641 	-16.87134765 	-0.43419609 	 0.838942849999998 	 2.59481494999999 	 4.85143505 	 2.40607370999999 	 5.04017629 	 3.02901103999999 	 2.84026979999999 			-0.43419609 	 1.27313894 	 1.75587209999999 	 1.83518505000001 	 1.83518505000001 	 0.725185050000009 	-0.725185050000009 
Ru	-0.49797478 	-12.56383532 	-8.8743393 	-17.58742985 	-21.8540262 	-1.23448054 	-0.930114520000001 	 1.18817492999999 	 6.25807507 	-3.07842142 	 10.52467142 	 2.42265547 	-1.84394088 			-1.23448054 	 0.304366019999999 	 2.11828944999999 	 3.24182507000001 	 3.24182507000001 	 2.13182507000001 	-2.13182507000001 
Ru_pv	-0.50890954 	-12.59638893 	-8.97339558 	-17.67872417 	-21.87431151 	-1.25609939 	-1.01823604 	 1.10781537 	 6.33843463 	-3.08777196999999 	 10.53402197 	 2.36391476 	-1.83167257999999 			-1.25609939 	 0.23786335 	 2.12605141 	 3.32218463 	 3.32218463 	 2.21218463 	-2.21218463 
Ru_sv	-0.5535499 	-12.66949502 	-9.07651039 	-17.79211486 	-21.99699964 	-1.28456512 	-1.07671049 	 1.03906503999999 	 6.40718496 	-3.16581974 	 10.6120697399999 	 2.32363015999999 	-1.88125462 			-1.28456512 	 0.20785463 	 2.11577552999999 	 3.39093496000001 	 3.39093496000001 	 2.28093496000001 	-2.28093496000001 
Sb	-0.09286812 	-12.02579544 	-7.97667316 	-16.29526857 	-16.11370666 	-1.10154731999999 	-0.43755504 	 2.07522954999999 	 5.37102045 	 2.25679145999999 	 5.18945853999999 	 3.17677686999999 	 3.35833877999999 			-1.10154731999999 	 0.66399227999999 	 2.51278458999999 	 2.35477045000001 	 2.51278458999999 	 1.40278458999999 	-1.40278458999999 
Sc_sv	-1.76826012 	-15.11149119 	-11.58227221 	-24.4142478 	-24.41469565 	-2.51185107 	-2.36776208999999 	-4.36835767999999 	 11.8146076799999 	-4.36880552999999 	 11.8150555299999 	-1.85650660999999 	-1.85695445999999 			-2.51185107 	 0.14408898000001 	-2.00059559 	 8.79835767999999 	 8.79835767999999 	 7.68835767999999 	-7.68835767999999 
Sn	-0.07570353 	-12.3366863 	-8.74246222 	-18.31789143 	-18.31821653 	-1.42960277 	-1.22050869 	 3.54420999999973E-02 	 7.4108079 	 0.035116999999996 	 7.411133 	 1.46504486999999 	 1.46471976999999 			-1.42960277 	 0.20909408 	 1.25595079 	 4.3945579 	 4.3945579 	 3.2845579 	-3.2845579 
Sn_d	-0.09847975 	-12.34039497 	-8.72915899 	-18.29916847 	-18.29744173 	-1.41053522 	-1.18442924 	 7.69412799999962E-02 	 7.36930872 	 7.86680199999985E-02 	 7.36758198 	 1.48747649999999 	 1.48920324 			-1.41053522 	 0.22610598 	 1.26137052 	 4.35305872 	 4.35305872 	 3.24305872 	-3.24305872 
Sr_sv	-0.02902519 	-12.09925826 	-6.99583326 	-16.0792945 	-16.07921805 	-1.23885306999999 	 0.479441929999998 	 2.22736068999999 	 5.21888931 	 2.22743713999999 	 5.21881286 	 3.46621375999999 	 3.46629020999999 			-1.23885306999999 	 1.71829499999999 	 1.74791875999999 	 2.20263931000001 	 2.20263931000001 	 1.09263931000001 	-1.09263931000001 
Ta	-2.24453719 	-16.01051413 	-13.8843877 	-27.41366305 	-27.41429501 	-2.93459694 	-4.19360051 	-6.89149586 	 14.33774586 	-6.89212782 	 14.33837782 	-3.95689892 	-3.95753088 			-2.93459694 	-1.25900357 	-2.69789535 	 11.32149586 	 11.32149586 	 10.21149586 	-10.21149586 
Tc_pv	-0.26861296 	-13.10696932 	-10.51132673 	-23.53546265 	-23.53482703 	-2.00697635999999 	-2.79646377 	-4.98921969 	 12.43546969 	-4.98858407 	 12.4348340699999 	-2.98224333 	-2.98160771 			-2.00697635999999 	-0.78948741000001 	-2.19275592 	 9.41921969 	 9.41921969 	 8.30921969 	-8.30921969 
