element	E_M	E_HO	E_O	E_HOO	E_HOO2	delta_E1(eV)	delta_E2(eV)	delta_E3_HOO(eV)	delta_E4_HOO(eV)	delta_E3_HOO2(eV)	delta_E4_HOO2(eV)	delta_E_HOO−HO(eV)	delta_E_HOO2−HO(eV)									
Ag	-0.19848085 	-10.55413996 	-4.48693003 	-14.62009641 	-14.77808302 	 0.475720889999998 	 3.15780081999999 	 3.85601443999999 	 3.59023556 	 3.69802782999999 	 3.74822217 	 3.38029354999999 	 3.22230693999999 			 0.475720889999998 	 2.68207992999999 	 0.69821362 	 0.57398556000001 	 2.68207992999999 	 1.57207992999999 	-1.57207992999999 
Au	-0.18519197 	-10.5565064 	-4.83324234 	-14.89815631 	-14.89976321 	 0.460065569999999 	 2.79819962999999 	 3.56466565999999 	 3.88158434 	 3.56305875999999 	 3.88319124 	 3.10460009 	 3.10299318999999 			 0.460065569999999 	 2.33813405999999 	 0.76646603 	 0.86533434000001 	 2.33813405999999 	 1.22813405999999 	-1.22813405999999 
Bi	-1.32504719 	-12.278333 	-7.55131032 	-16.3386787 	-16.37869861 	-0.121905810000001 	 1.21998686999999 	 3.26399848999999 	 4.18225151 	 3.22397857999999 	 4.22227142 	 3.3859043 	 3.34588438999999 			-0.121905810000001 	 1.34189267999999 	 2.04401162 	 1.16600151000001 	 2.04401162 	 0.93401162 	-0.93401162 
Cd	-0.01340133 	-9.35164675 	-3.27016502 	-13.67085096 	-13.66936973 	 1.49313457999999 	 4.18948630999999 	 4.62018037 	 2.82606962999999 	 4.62166159999999 	 2.82458839999999 	 3.12704579 	 3.12852702 			 1.49313457999999 	 2.69635173 	 0.43069406000001 	-0.19018037 	 2.69635173 	 1.58635173 	-1.58635173 
Co	-1.85748219 	-13.48534289 	-8.97833364 	-17.74720764 	-17.77906797 	-0.7964807 	 0.325398549999998 	 2.38790455 	 5.05834545 	 2.35604421999999 	 5.09020578 	 3.18438525 	 3.15252491999999 			-0.7964807 	 1.12187925 	 2.062506 	 2.04209545 	 2.062506 	 0.952506000000002 	-0.952506000000002 
Co_pv	-1.70867701 	-13.41317939 	-8.89815112 	-17.67817546 	-17.7070616 	-0.873122379999999 	 0.256775889999999 	 2.30813155 	 5.13811844999999 	 2.27924540999999 	 5.16700458999999 	 3.18125393 	 3.15236778999999 			-0.873122379999999 	 1.12989827 	 2.05135566 	 2.12186845 	 2.12186845 	 1.01186845 	-1.01186845 
Co_sv	-1.78624821 	-13.55344851 	-9.04629557 	-17.82128743 	-17.85381428 	-0.935820300000001 	 0.186202639999999 	 2.24259077999999 	 5.20365922 	 2.21006392999999 	 5.23618607 	 3.17841107999999 	 3.14588422999999 			-0.935820300000001 	 1.12202294 	 2.05638813999999 	 2.18740922000001 	 2.18740922000001 	 1.07740922000001 	-1.07740922000001 
Cr_pv	-5.44395005 	-17.08935038 	-12.63170324 	-21.17496963 	-21.2841506 	-0.81402033 	 0.258496809999998 	 2.54661041999999 	 4.89963958 	 2.43742944999999 	 5.00882055 	 3.36063074999999 	 3.25144977999999 			-0.81402033 	 1.07251714 	 2.28811360999999 	 1.88338958000001 	 2.28811360999999 	 1.17811360999999 	-1.17811360999999 
Cu	-0.24241276 	-11.4091615 	-5.59822266 	-15.41971098 	-15.55471668 	-0.335368739999999 	 2.09044009999999 	 3.10033177999999 	 4.34591822 	 2.96532607999999 	 4.48092392 	 3.43570051999999 	 3.30069481999999 			-0.335368739999999 	 2.42580883999999 	 1.00989168 	 1.32966822000001 	 2.42580883999999 	 1.31580883999999 	-1.31580883999999 
Fe	-3.31683735 	-14.95609017 	-10.73659877 	-22.40631827 	-22.40394892 	-0.80787282 	 2.64885799999987E-02 	-0.811850920000001 	 8.25810092 	-0.809481570000002 	 8.25573157 	-3.9781000000012E-03 	-1.6087500000026E-03 			-0.80787282 	 0.834361399999999 	-0.8383395 	 5.24185092 	 5.24185092 	 4.13185092 	-4.13185092 
Fe_pv	-3.22254018 	-14.81584052 	-10.6877922 	-18.86271979 	-22.41080911 	-0.761920339999999 	-1.90020200000011E-02 	 2.63745038999999 	 4.80879961 	-0.910638930000001 	 8.35688893 	 3.39937072999999 	-0.148718590000001 			-0.761920339999999 	 0.742918319999998 	 2.65645240999999 	 1.79254961000001 	 2.65645240999999 	 1.54645240999999 	-1.54645240999999 
Fe_sv	-3.25753847 	-14.89248019 	-10.79572966 	-22.54358536 	-22.53688788 	-0.803561720000001 	-0.09194119 	-1.00841689 	 8.45466689 	-1.00171940999999 	 8.44796940999999 	-0.204855170000001 	-0.198157689999998 			-0.803561720000001 	 0.711620530000001 	-0.9164757 	 5.43841689 	 5.43841689 	 4.32841689 	-4.32841689 
Ga	-0.22438239 	-12.91690903 	-6.79403983 	-16.84116782 	-16.96227093 	-1.86114663999999 	 0.876592559999998 	 1.66084456999999 	 5.78540542999999 	 1.53974145999999 	 5.90650853999999 	 3.52199120999999 	 3.40088809999999 			-1.86114663999999 	 2.73773919999999 	 0.784252009999992 	 2.76915543000001 	 2.76915543000001 	 1.65915543000001 	-1.65915543000001 
Hf	-3.33172059 	-17.1850949 	-14.46844463 	-27.26291351 	-27.26310597 	-3.02199431 	-3.69047404 	-5.65356292 	 13.09981292 	-5.65375538 	 13.10000538 	-2.63156861 	-2.63176107 			-3.02199431 	-0.66847973 	-1.96308888 	 10.08356292 	 10.08356292 	 8.97356292 	-8.97356292 
Hg	-0.01134197 	-8.5831975 	-2.52421832 	-13.3629487 	-13.36220356 	 2.25952446999999 	 4.93337364999999 	 4.92602326999999 	 2.52022673 	 4.92676840999999 	 2.51948159 	 2.66649879999999 	 2.66724394 			 2.25952446999999 	 2.67384918 	-7.3503800000001E-03 	-0.49602326999999 	 2.67384918 	 1.56384918 	-1.56384918 
In_d	-0.21665851 	-12.42677583 	-6.22388403 	-16.42748071 	-16.51019441 	-1.37873732 	 1.43902447999999 	 2.06680779999999 	 5.3794422 	 1.98409409999999 	 5.4621559 	 3.44554511999999 	 3.36283141999999 			-1.37873732 	 2.81776179999999 	 0.62778332 	 2.36319220000001 	 2.81776179999999 	 1.70776179999999 	-1.70776179999999 
Ir	-1.5054722 	-13.10322276 	-9.05798439 	-17.60329667 	-17.6599451 	-0.76637056 	-0.10626219 	 2.17980552999999 	 5.26644447 	 2.12315709999999 	 5.3230929 	 2.94617609 	 2.88952765999999 			-0.76637056 	 0.66010837 	 2.28606771999999 	 2.25019447000001 	 2.28606771999999 	 1.17606771999999 	-1.17606771999999 
Mn_pv	-5.14992843 	-16.39610389 	-12.44497886 	-20.77016102 	-24.2675172 	-0.41479546 	 0.151199569999998 	 2.65739740999999 	 4.78885259 	-0.839958770000002 	 8.28620877 	 3.07219286999999 	-0.425163310000002 			-0.41479546 	 0.565995029999998 	 2.50619783999999 	 1.77260259000001 	 2.50619783999999 	 1.39619783999999 	-1.39619783999999 
Mo_sv	-4.64510285 	-16.32828575 	-12.57980914 	-20.47873422 	-20.57405264 	-0.851802899999999 	-0.488456290000001 	 2.44399862999999 	 5.00225137 	 2.34868020999999 	 5.09756979 	 3.29580152999999 	 3.20048310999999 			-0.851802899999999 	 0.363346609999998 	 2.93245491999999 	 1.98600137000001 	 2.93245491999999 	 1.82245491999999 	-1.82245491999999 
Nb_pv	-3.15190337 	-15.8400713 	-13.06248321 	-25.64146703 	-25.64121332 	-1.85678793 	-2.46432984 	-4.21193366 	 11.65818366 	-4.21167995 	 11.65792995 	-2.35514573 	-2.35489201999999 			-1.85678793 	-0.60754191 	-1.74760382 	 8.64193366 	 8.64193366 	 7.53193366 	-7.53193366 
Ni	-0.63692585 	-12.30682185 	-7.57149442 	-16.60876698 	-16.52359634 	-0.838516 	 0.511681429999999 	 2.30578887 	 5.14046112999999 	 2.39095950999999 	 5.05529049 	 3.14430487 	 3.22947550999999 			-0.838516 	 1.35019743 	 1.79410744 	 2.12421113 	 2.12421113 	 1.01421113 	-1.01421113 
Ni_pv	-0.62918605 	-12.31257157 	-7.59351591 	-16.61913614 	-16.5365292 	-0.85200552 	 0.481920139999999 	 2.28767990999999 	 5.15857008999999 	 2.37028684999999 	 5.07596315 	 3.13968543 	 3.22229236999999 			-0.85200552 	 1.33392566 	 1.80575976999999 	 2.14232009000001 	 2.14232009000001 	 1.03232009000001 	-1.03232009000001 
Os	-2.90634544 	-14.53190994 	-10.70924693 	-23.670933 	-23.66945048 	-0.7941845 	-0.356651490000001 	-2.48695756 	 9.93320756 	-2.48547504 	 9.93172504 	-1.69277306 	-1.69129054 			-0.7941845 	 0.437533009999999 	-2.13030607 	 6.91695756 	 6.91695756 	 5.80695756 	-5.80695756 
Os_pv	-2.91201873 	-14.54293996 	-10.7371093 	-23.72925504 	-23.72782047 	-0.79954123 	-0.378840570000001 	-2.53960631 	 9.98585631 	-2.53817174 	 9.98442174 	-1.74006508 	-1.73863051 			-0.79954123 	 0.420700659999999 	-2.16076574 	 6.96960631 	 6.96960631 	 5.85960631 	-5.85960631 
Pb	-0.62277394 	-12.19633351 	-8.05691344 	-16.36253224 	-16.35775344 	-0.742179570000001 	 1.21104999999985E-02 	 2.53787169999999 	 4.9083783 	 2.54265049999999 	 4.9035995 	 3.28005126999999 	 3.28483007 			-0.742179570000001 	 0.754290069999999 	 2.52576119999999 	 1.89212830000001 	 2.52576119999999 	 1.41576119999999 	-1.41576119999999 
Pd	-1.47429912 	-11.92846649 	-6.73461661 	-16.50339215 	-16.50484702 	 0.377212629999998 	 2.18593250999999 	 3.24853696999999 	 4.19771303 	 3.24708209999999 	 4.1991679 	 2.87132433999999 	 2.86986946999999 			 0.377212629999998 	 1.80871987999999 	 1.06260446 	 1.18146303000001 	 1.80871987999999 	 0.698719879999992 	-0.698719879999992 
Pd_pv	-1.49665975 	-11.93410647 	-6.73670223 	-16.34580088 	-16.51051102 	 0.393933279999998 	 2.20620751999999 	 3.42848886999999 	 4.01776113 	 3.26377872999999 	 4.18247127 	 3.03455559 	 2.86984544999999 			 0.393933279999998 	 1.81227423999999 	 1.22228135 	 1.00151113000001 	 1.81227423999999 	 0.702274239999992 	-0.702274239999992 
Pt	-0.555903 	-11.88403508 	-7.48490602 	-16.36150363 	-16.379065 	-0.49675208 	 0.517246979999998 	 2.47202936999999 	 4.97422063 	 2.45446799999999 	 4.991782 	 2.96878144999999 	 2.95122007999999 			-0.49675208 	 1.01399906 	 1.95478238999999 	 1.95797063000001 	 1.95797063000001 	 0.84797063000001 	-0.84797063000001 
Pt_pv	-0.59605168 	-11.92980628 	-7.5629603 	-16.41806334 	-16.43280847 	-0.502374599999999 	 0.479341379999999 	 2.45561833999999 	 4.99063166 	 2.44087320999999 	 5.00537679 	 2.95799293999999 	 2.94324780999999 			-0.502374599999999 	 0.981715979999998 	 1.97627695999999 	 1.97438166000001 	 1.97627695999999 	 0.866276959999991 	-0.866276959999991 
