element	E_M	E_HO	E_O	E_HOO	E_HOO2	delta_E1(eV)	delta_E2(eV)	delta_E3_HOO(eV)	delta_E4_HOO(eV)	delta_E3_HOO2(eV)	delta_E4_HOO2(eV)	delta_E_HOO_HO(eV)	delta_E_HOO2_HO(eV)									
Ag	-0.03793065 	-10.57975391 	-4.03602585 	-14.6794385 	-14.82721556 	 0.289556739999998 	 3.44815479999999 	 3.63612214999999 	 3.81012785 	 3.48834508999999 	 3.95790491 	 3.34656541 	 3.19878834999999 			 0.289556739999998 	 3.15859805999999 	 0.18796735 	 0.79387785000001 	 3.15859805999999 	 2.04859805999999 	-2.04859805999999 
Au	-0.03623154 	-10.59873474 	-4.54602971 	-14.66543883 	-14.94962307 	 0.268876799999999 	 2.93645182999999 	 3.64842270999999 	 3.79782729 	 3.36423846999999 	 4.08201153 	 3.37954590999999 	 3.09536166999999 			 0.268876799999999 	 2.66757502999999 	 0.71197088 	 0.78157729000001 	 2.66757502999999 	 1.55757502999999 	-1.55757502999999 
Bi	-0.08407859 	-11.70880908 	-7.41839844 	-15.95431716 	-15.89357176 	-0.793350489999999 	 0.111930149999999 	 2.40739142999999 	 5.03885857 	 2.46813682999999 	 4.97811317 	 3.20074191999999 	 3.26148731999999 			-0.793350489999999 	 0.905280639999998 	 2.29546127999999 	 2.02260857000001 	 2.29546127999999 	 1.18546127999999 	-1.18546127999999 
Cd	-0.01340774 	-9.16234088 	-3.23679286 	-13.29188874 	-13.52889936 	 1.68244685999999 	 4.22286487999999 	 4.99914899999999 	 2.447101 	 4.76213837999999 	 2.68411162 	 3.31670214 	 3.07969151999999 			 1.68244685999999 	 2.54041802 	 0.776284120000001 	-0.569148999999991 	 2.54041802 	 1.43041802 	-1.43041802 
Co_2	-1.1240621 	-12.49031347 	-7.58326662 	-16.59380333 	-16.66364142 	-0.534871370000001 	 0.987045479999999 	 2.80788876999999 	 4.63836123 	 2.73805067999999 	 4.70819932 	 3.34276013999999 	 3.27292204999999 			-0.534871370000001 	 1.52191685 	 1.82084328999999 	 1.62211123000001 	 1.82084328999999 	 0.710843289999991 	-0.710843289999991 
Co_pv_2	-1.18067378 	-12.4773099 	-7.56754121 	-16.57785296 	-16.64892557 	-0.465256120000001 	 1.05938256999999 	 2.88045081999999 	 4.56579918 	 2.80937820999999 	 4.63687179 	 3.34570693999999 	 3.27463432999999 			-0.465256120000001 	 1.52463868999999 	 1.82106825 	 1.54954918000001 	 1.82106825 	 0.71106825 	-0.71106825 
Co_sv_2	-0.82711864 	-12.04214495 	-7.17751161 	-16.1550299 	-16.21982266 	-0.383646310000001 	 1.09585702999999 	 2.94971874 	 4.49653125999999 	 2.88492598 	 4.56132401999999 	 3.33336505 	 3.26857229 			-0.383646310000001 	 1.47950333999999 	 1.85386171000001 	 1.48028126 	 1.85386171000001 	 0.74386171000001 	-0.74386171000001 
Cr_pv_4	-4.53344385 	-15.80330499 	-10.68220096 	-19.91549169 	-20.02571389 	-0.43848114 	 1.29749289 	 2.89558216 	 4.55066783999999 	 2.78535996 	 4.66089003999999 	 3.3340633 	 3.2238411 			-0.43848114 	 1.73597403 	 1.59808927 	 1.53441784 	 1.73597403 	 0.62597403 	-0.62597403 
Cu	 1.02442147 	-10.2224871 	-3.85516436 	-14.26993588 	-14.37722398 	-0.415528570000001 	 2.56666416999999 	 2.98327264999999 	 4.46297735 	 2.87598454999999 	 4.57026545 	 3.39880121999999 	 3.29151311999999 			-0.415528570000001 	 2.98219273999999 	 0.41660848 	 1.44672735000001 	 2.98219273999999 	 1.87219273999999 	-1.87219273999999 
Fe_3	-2.1444308 	-13.86359204 	-8.85096599 	-17.87201064 	-16.52769111 	-0.88778124 	 0.739714809999998 	 2.55005015999999 	 4.89619984 	 3.89436968999999 	 3.55188031 	 3.4378314 	 4.78215093 			-0.88778124 	 1.62749605 	 1.81033534999999 	 1.87994984000001 	 1.87994984000001 	 0.76994984000001 	-0.76994984000001 
Fe_pv_3	-1.90723585 	-13.78472566 	-8.76341511 	-16.26358723 	-17.92288595 	-1.04610981 	 0.590070739999998 	 3.92127861999999 	 3.52497138 	 2.26197989999999 	 5.1842701 	 4.96738843 	 3.30808970999999 			-1.04610981 	 1.63618055 	 3.33120787999999 	 0.50872138000001 	 3.33120787999999 	 2.22120787999999 	-2.22120787999999 
Fe_sv_3	-1.32479298 	-13.37976853 	-8.41545137 	-17.37088807 	-17.37100305 	-1.22359555 	 0.355591609999999 	 2.23153491 	 5.21471509 	 2.23141993 	 5.21483007 	 3.45513046 	 3.45501548 			-1.22359555 	 1.57918716 	 1.8759433 	 2.19846509 	 2.19846509 	 1.08846509 	-1.08846509 
Ga	-0.05634861 	-12.94206771 	-6.49170476 	-16.90796283 	-17.02313381 	-2.0543391 	 1.01089384999999 	 1.42601578 	 6.02023421999999 	 1.31084479999999 	 6.1354052 	 3.48035488 	 3.36518389999999 			-2.0543391 	 3.06523294999999 	 0.41512193000001 	 3.00398422 	 3.06523294999999 	 1.95523294999999 	-1.95523294999999 
Hf	-2.70594512 	-16.86637374 	-14.50762748 	-27.01716393 	-27.01791551 	-3.32904862 	-4.35543236 	-6.03358881 	 13.47983881 	-6.03434039 	 13.48059039 	-2.70454018999999 	-2.70529177 			-3.32904862 	-1.02638374 	-1.67815645 	 10.46358881 	 10.46358881 	 9.35358881 	-9.35358881 
Hg	-0.01132788 	-8.35342673 	-2.46677192 	-13.06819528 	-13.06807819 	 2.48928114999999 	 4.99080595999999 	 5.22076259999999 	 2.2254874 	 5.22087968999999 	 2.22537031 	 2.73148145 	 2.73159854 			 2.48928114999999 	 2.50152481 	 0.22995664 	-0.79076259999999 	 2.50152481 	 1.39152481 	-1.39152481 
In_d	-0.07158507 	-12.43820153 	-5.91774235 	-16.48437948 	-16.56702895 	-1.53523646 	 1.60009271999999 	 1.86483558999999 	 5.58141441 	 1.78218611999999 	 5.66406388 	 3.40007205 	 3.31742258 			-1.53523646 	 3.13532917999999 	 0.26474287 	 2.56516441000001 	 3.13532917999999 	 2.02532917999999 	-2.02532917999999 
Ir	 1.47324482 	-10.89289698 	-6.8979057 	-15.71076674 	-15.7298662 	-1.5347618 	-0.924900520000001 	 1.09361843999999 	 6.35263156 	 1.07451897999999 	 6.37173102 	 2.62838023999999 	 2.60928077999999 			-1.5347618 	 0.609861279999999 	 2.01851895999999 	 3.33638156000001 	 3.33638156000001 	 2.22638156000001 	-2.22638156000001 
Mn_pv_4	-4.54882826 	-15.81588603 	-10.63548255 	-19.97006435 	-19.97127112 	-0.435677770000001 	 1.35959570999999 	 2.85639390999999 	 4.58985609 	 2.85518713999999 	 4.59106286 	 3.29207167999999 	 3.29086491 			-0.435677770000001 	 1.79527347999999 	 1.4967982 	 1.57360609000001 	 1.79527347999999 	 0.685273479999991 	-0.685273479999991 
Mo_sv_1	-4.64512474 	-16.35502379 	-12.60762003 	-20.54091387 	-25.19060165 	-0.878519050000001 	-0.51624529 	 2.38184086999999 	 5.06440913 	-2.26784691 	 9.71409691 	 3.26035991999999 	-1.38932786 			-0.878519050000001 	 0.362273760000001 	 2.89808615999999 	 2.04815913000001 	 2.89808615999999 	 1.78808615999999 	-1.78808615999999 
Nb_pv	-0.68939323 	-14.27660283 	-11.79957125 	-25.15799504 	-25.15917372 	-2.7558296 	-3.66392802 	-6.19097181 	 13.63722181 	-6.19215048999999 	 13.6384004899999 	-3.43514221 	-3.43632088999999 			-2.7558296 	-0.90809842 	-2.52704379 	 10.62097181 	 10.62097181 	 9.51097181 	-9.51097181 
Ni_1	 2.41932402 	-10.57911305 	-5.218032 	-14.67053902 	-14.73211035 	-2.16705707 	-0.191106020000001 	 1.18776695999999 	 6.25848304 	 1.12619562999999 	 6.32005436999999 	 3.35482402999999 	 3.29325269999999 			-2.16705707 	 1.97595105 	 1.37887297999999 	 3.24223304000001 	 3.24223304000001 	 2.13223304000001 	-2.13223304000001 
Ni_pv_1	 1.11620042 	-9.84604737 	-4.51634265 	-13.93462764 	-14.00352263 	-0.130867790000001 	 1.81370692999999 	 3.22680193999999 	 4.21944806 	 3.15790694999999 	 4.28834305 	 3.35766972999999 	 3.28877473999999 			-0.130867790000001 	 1.94457471999999 	 1.41309501 	 1.20319806000001 	 1.94457471999999 	 0.834574719999991 	-0.834574719999991 
Os	-0.45569513 	-13.25849024 	-10.39842161 	-18.62513748 	-23.41397 	-1.97141511 	-2.49647648 	 0.108187649999997 	 7.33806234999999 	-4.68064487 	 12.12689487 	 2.07960275999999 	-2.70922976 			-1.97141511 	-0.52506137 	 2.60466413 	 4.32181235 	 4.32181235 	 3.21181235 	-3.21181235 
