element	E_M	E_HO	E_O	E_HOO	E_HOO2	delta_E1(eV)	delta_E2(eV)	delta_E3_HOO(eV)	delta_E4_HOO(eV)	delta_E3_HOO2(eV)	delta_E4_HOO2(eV)	delta_E_HOO−HO(eV)	delta_E_HOO2−HO(eV)			-14.21651 	-6.77026 								
Ag	-0.1984854 	-10.56760709 	-4.50327243 	-14.64214191 	-14.79210674 	 0.462258309999999 	 3.14146296999999 	 3.83397348999999 	 3.61227651 	 3.68400865999999 	 3.76224134 	 3.37171517999999 	 3.22175034999999 			 0.462258309999999 	 2.67920465999999 	 0.69251052 	 1.08602651000001 			 0.59602651000001 	 2.67920465999999 	 1.56920465999999 	-1.56920465999999 
Au	-0.18516521 	-10.57804293 	-4.85082837 	-14.61996867 	-14.90796933 	 0.438502279999998 	 2.78058683999999 	 3.84282653999999 	 3.60342346 	 3.55482587999999 	 3.89142412 	 3.40432425999999 	 3.11632359999999 			 0.438502279999998 	 2.34208455999999 	 1.0622397 	 1.07717346000001 			 0.58717346000001 	 2.34208455999999 	 1.23208455999999 	-1.23208455999999 
Bi	-1.32504069 	-12.30245304 	-7.57125408 	-16.37199452 	-16.40963605 	-0.14603235 	 1.20003660999999 	 3.23067616999999 	 4.21557383 	 3.19303463999999 	 4.25321536 	 3.37670851999999 	 3.33906698999999 			-0.14603235 	 1.34606895999999 	 2.03063956 	 1.68932383000001 			 1.19932383000001 	 2.03063956 	 0.92063956 	-0.92063956 
Cd	-0.01340774 	-9.36236769 	-3.28799982 	-13.68743269 	-13.68652752 	 1.48242005 	 4.17165791999999 	 4.60360504999999 	 2.84264495 	 4.60451021999999 	 2.84173978 	 3.12118499999999 	 3.12209016999999 			 1.48242005 	 2.68923786999999 	 0.43194713 	 0.31639495000001 			-0.17360504999999 	 2.68923786999999 	 1.57923786999999 	-1.57923786999999 
Co	-1.85749803 	-13.50447018 	-8.9931501 	-17.77390346 	-17.8039851 	-0.81559215 	 0.31059793 	 2.36122456999999 	 5.08502543 	 2.33114293 	 5.11510707 	 3.17681671999999 	 3.14673508 			-0.81559215 	 1.12619008 	 2.05062663999999 	 2.55877543000001 			 2.06877543000001 	 2.55877543000001 	 1.44877543000001 	-1.44877543000001 
Co_pv	-1.70869285 	-13.43223266 	-8.91296682 	-17.70471656 	-17.73229704 	-0.89215981 	 0.24197603 	 2.28160628999999 	 5.16464371 	 2.25402580999999 	 5.19222418999999 	 3.17376609999999 	 3.14618561999999 			-0.89215981 	 1.13413584 	 2.03963025999999 	 2.63839371000001 			 2.14839371000001 	 2.63839371000001 	 1.52839371000001 	-1.52839371000001 
Co_sv	-1.78626404 	-13.57299987 	-9.06456097 	-17.84796615 	-17.87410702 	-0.95535583 	 0.167953069999998 	 2.21592788999999 	 5.23032211 	 2.18978701999999 	 5.25646298 	 3.17128371999999 	 3.14514284999999 			-0.95535583 	 1.1233089 	 2.04797481999999 	 2.70407211000001 			 2.21407211000001 	 2.70407211000001 	 1.59407211000001 	-1.59407211000001 
Cr_pv	-5.44397223 	-17.10635416 	-12.64917806 	-21.20603971 	-21.31388262 	-0.831001929999999 	 0.241044169999998 	 2.51556251999999 	 4.93068748 	 2.40771960999999 	 5.03853039 	 3.34656444999999 	 3.23872153999999 			-0.831001929999999 	 1.0720461 	 2.27451834999999 	 2.40443748000001 			 1.91443748000001 	 2.40443748000001 	 1.29443748000001 	-1.29443748000001 
Cu	-0.24242058 	-11.42709503 	-5.61181226 	-15.44564761 	-15.57586248 	-0.353294450000001 	 2.07685831999999 	 3.07440296999999 	 4.37184703 	 2.94418809999999 	 4.5020619 	 3.42769741999999 	 3.29748255 			-0.353294450000001 	 2.43015276999999 	 0.99754465 	 1.84559703000001 			 1.35559703000001 	 2.43015276999999 	 1.32015276999999 	-1.32015276999999 
Fe	-3.2983 	-14.973465 	-10.751182 	-18.981457 	-22.42079 	-0.843785000000002 	-6.63200000000108E-03 	 2.594473 	 1.835527 	-0.844860000000002 	 27.04224077 	 3.438258 	 6.06746472 			-0.843785000000002 	 0.837153000000001 	 2.601105 	 2.325527 			 1.835527 	 2.601105 	 1.491105 	-1.491105 
