element	E_M	E_HO	E_O	E_HOO	E_HOO2	delta_E1(eV)	delta_E2(eV)	delta_E3_HOO(eV)	delta_E4_HOO(eV)	delta_E3_HOO2(eV)	delta_E4_HOO2(eV)	delta_E_HOO−HO(eV)	delta_E_HOO2−HO(eV)													
Ag	-0.19846858 	-10.53861252 	-4.48626772 	-14.74446817 	-14.74371198 	 0.49123606 	 3.15845085999999 	 3.73163040999999 	 3.71461959 	 3.73238659999999 	 3.7138634 	 3.24039434999999 	 3.24115053999999 			 0.49123606 	 2.66721479999999 	 0.57317955 	 1.18836959000001 				 0.69836959000001 	 2.66721479999999 	 1.55721479999999 	-1.55721479999999 
Au	-0.18515154 	-10.54735392 	-4.83273761 	-14.56986046 	-14.85611376 	 0.469177619999998 	 2.79866392999999 	 3.89292107999999 	 3.55332892 	 3.60666777999999 	 3.83958222 	 3.42374346 	 3.13749016 			 0.469177619999998 	 2.32948630999999 	 1.09425715 	 1.02707892000001 				 0.53707892000001 	 2.32948630999999 	 1.21948630999999 	-1.21948630999999 
Bi	-1.32501558 	-12.26849745 	-7.55094619 	-16.31776587 	-16.35388942 	-0.11210187 	 1.22031938999999 	 3.28487971 	 4.16137028999999 	 3.24875615999999 	 4.19749384 	 3.39698158 	 3.36085802999999 			-0.11210187 	 1.33242125999999 	 2.06456032000001 	 1.63512029 				 1.14512029 	 2.06456032000001 	 0.95456032000001 	-0.95456032000001 
Cd	-0.01338906 	-9.33152272 	-3.26955554 	-13.63473902 	-13.63392833 	 1.51324633999999 	 4.19008352 	 4.65628003999999 	 2.78996996 	 4.65709072999999 	 2.78915927 	 3.1430337 	 3.14384439 			 1.51324633999999 	 2.67683718000001 	 0.46619651999999 	 0.26371996000001 				-0.22628003999999 	 2.67683718000001 	 1.56683718000001 	-1.56683718000001 
Co	-1.85747682 	-13.47829855 	-8.97820497 	-17.72998894 	-17.75889334 	-0.78944173 	 0.325521849999999 	 2.40511788 	 5.04113212 	 2.37621347999999 	 5.07003652 	 3.19455961 	 3.16565520999999 			-0.78944173 	 1.11496358 	 2.07959603 	 2.51488212 				 2.02488212 	 2.51488212 	 1.40488212 	-1.40488212 
Co_pv	-1.70867164 	-13.40604334 	-8.89797383 	-17.66082183 	-17.68790843 	-0.8659917 	 0.256947809999999 	 2.32547980999999 	 5.12077019 	 2.29839320999999 	 5.14785679 	 3.19147150999999 	 3.16438490999999 			-0.8659917 	 1.12293951 	 2.06853199999999 	 2.59452019000001 				 2.10452019000001 	 2.59452019000001 	 1.48452019000001 	-1.48452019000001 
Co_sv	-1.78624283 	-13.54686882 	-9.04952814 	-17.80392236 	-17.83372973 	-0.929245990000001 	 0.182964689999999 	 2.25995046999999 	 5.18629953 	 2.23014309999999 	 5.2161069 	 3.18919645999999 	 3.15938908999999 			-0.929245990000001 	 1.11221068 	 2.07698577999999 	 2.66004953000001 				 2.17004953000001 	 2.66004953000001 	 1.55004953000001 	-1.55004953000001 
Cr_pv	-5.44394468 	-17.07640797 	-12.63152649 	-21.15782583 	-21.26390962 	-0.801083290000001 	 0.258668189999998 	 2.56374884999999 	 4.88250114999999 	 2.45766506 	 4.98858493999999 	 3.36483214 	 3.25874835 			-0.801083290000001 	 1.05975148 	 2.30508065999999 	 2.35625115000001 				 1.86625115000001 	 2.35625115000001 	 1.24625115000001 	-1.24625115000001 
Cu	-0.24240739 	-11.40254222 	-5.59798872 	-15.4035543 	-15.53229275 	-0.328754830000001 	 2.09066866999999 	 3.11648308999999 	 4.32976691 	 2.98774463999999 	 4.45850536 	 3.44523792 	 3.31649947 			-0.328754830000001 	 2.41942349999999 	 1.02581442 	 1.80351691000001 				 1.31351691000001 	 2.41942349999999 	 1.30942349999999 	-1.30942349999999 
Fe	-3.31683198 	-14.94764285 	-10.73642258 	-18.93855998 	-22.38463102 	-0.79943087 	 2.66593999999997E-02 	 2.65590199999999 	 4.790348 	-0.790169040000002 	 8.23641904 	 3.45533286999999 	 9.26182999999802E-03 			-0.79943087 	 0.82609027 	 2.62924259999999 	 2.26409800000001 				 1.77409800000001 	 2.62924259999999 	 1.51924259999999 	-1.51924259999999 
Fe_pv	-3.2225348 	-14.79845273 	-10.6876196 	-18.83948692 	-22.39030326 	-0.744537929999999 	-1.88348000000004E-02 	 2.66067787999999 	 4.78557212 	-0.890138459999999 	 8.33638846 	 3.40521580999999 	-0.145600529999999 			-0.744537929999999 	 0.725703129999999 	 2.67951267999999 	 2.25932212000001 				 1.76932212000001 	 2.67951267999999 	 1.56951267999999 	-1.56951267999999 
Fe_sv	-3.25753309 	-14.95098856 	-10.79556993 	-22.5263099 	-22.51778372 	-0.86207547 	-9.17868400000001E-02 	-0.991146810000003 	 8.43739681 	-0.982620630000003 	 8.42887063 	-0.129071340000002 	-0.120545160000002 			-0.86207547 	 0.77028863 	-0.899359970000003 	 5.91114681 				 5.42114681 	 5.91114681 	 4.80114681 	-4.80114681 
