element	E_M	E_HO	E_O	E_HOO	E_HOO2	delta_E1(eV)	delta_E2(eV)	delta_E3_HOO(eV)	delta_E4_HOO(eV)	delta_E3_HOO2(eV)	delta_E4_HOO2(eV)	delta_E_HOO−HO(eV)	delta_E_HOO2−HO(eV)									
Ag	-0.03430364 	-10.29282587 	-3.78025668 	-14.1152139 	-14.26007286 	 0.572857769999998 	 3.70029695999999 	 4.19671973999999 	 3.24953026 	 4.05186077999999 	 3.39438922 	 3.62386196999999 	 3.47900300999999 			 0.572857769999998 	 3.12743918999999 	 0.49642278 	 0.23328026000001 	 3.12743918999999 	 2.01743918999999 	-2.01743918999999 
Au	-0.03341282 	-10.2655464 	-4.2331693 	-14.04581402 	-14.32236379 	 0.59924642 	 3.24649351999999 	 4.26522879999999 	 3.1810212 	 3.98867902999999 	 3.45757097 	 3.66598237999999 	 3.38943260999999 			 0.59924642 	 2.64724709999999 	 1.01873528 	 0.164771200000009 	 2.64724709999999 	 1.53724709999999 	-1.53724709999999 
Bi	-0.0822952 	-11.43275091 	-7.15771315 	-15.39915356 	-15.27357832 	-0.519075709999999 	 0.370832049999998 	 2.96077163999999 	 4.48547836 	 3.08634687999999 	 4.35990312 	 3.47984734999999 	 3.60542258999999 			-0.519075709999999 	 0.889907759999997 	 2.58993958999999 	 1.46922836000001 	 2.58993958999999 	 1.47993958999999 	-1.47993958999999 
Cd	-0.00929593 	-8.92638554 	-3.0039447 	-13.01729828 	-13.01789837 	 1.91429038999999 	 4.45160123 	 5.26962764999999 	 2.17662235 	 5.26902756 	 2.17722243999999 	 3.35533725999999 	 3.35473717 			 1.91429038999999 	 2.53731084000001 	 0.81802641999999 	-0.83962764999999 	 2.53731084000001 	 1.42731084000001 	-1.42731084000001 
Co	-0.13546741 	-12.03701319 	-7.4743972 	-16.26994784 	-16.27031109 	-1.07016578 	 0.107320209999999 	 2.14314956999999 	 5.30310043 	 2.14278631999999 	 5.30346368 	 3.21331534999999 	 3.21295209999999 			-1.07016578 	 1.17748599 	 2.03582935999999 	 2.28685043000001 	 2.28685043000001 	 1.17685043000001 	-1.17685043000001 
Co_pv	-0.12952957 	-12.00156976 	-7.41259359 	-16.21676971 	-16.21580606 	-1.04066019 	 0.163185979999998 	 2.19038985999999 	 5.25586014 	 2.19135350999999 	 5.25489648999999 	 3.23105004999999 	 3.23201369999999 			-1.04066019 	 1.20384617 	 2.02720387999999 	 2.23961014000001 	 2.23961014000001 	 1.12961014000001 	-1.12961014000001 
Co_sv	-0.13950936 	-12.08294774 	-7.53735208 	-16.32215404 	-16.22580033 	-1.11205838 	 4.84072799999992E-02 	 2.09498531999999 	 5.35126468 	 2.19133903 	 5.25491096999999 	 3.2070437 	 3.30339741 			-1.11205838 	 1.16046566 	 2.04657803999999 	 2.33501468000001 	 2.33501468000001 	 1.22501468000001 	-1.22501468000001 
Cr_pv	-0.47928084 	-13.29295061 	-10.34807796 	-23.03144543 	-23.03122356 	-1.98228977 	-2.42254712 	-4.27453459 	 11.72078459 	-4.27431272 	 11.72056272 	-2.29224482 	-2.29202295 			-1.98228977 	-0.44025735 	-1.85198747 	 8.70453459 	 8.70453459 	 7.59453459 	-7.59453459 
Cu	-0.03599861 	-11.13329605 	-5.03746573 	-14.89825606 	-15.0205113 	-0.26591744 	 2.44478287999999 	 3.41537254999999 	 4.03087745 	 3.29311730999999 	 4.15313269 	 3.68128999 	 3.55903474999999 			-0.26591744 	 2.71070031999999 	 0.97058967 	 1.01462745000001 	 2.71070031999999 	 1.60070031999999 	-1.60070031999999 
Fe	-0.19782429 	-12.39622088 	-8.36894416 	-16.87705622 	-20.81710489 	-1.36701659 	-0.72486987 	 1.59839806999999 	 5.84785193 	-2.3416506 	 9.7879006 	 2.96541465999999 	-0.97463401 			-1.36701659 	 0.64214672 	 2.32326793999999 	 2.83160193000001 	 2.83160193000001 	 1.72160193000001 	-1.72160193000001 
Fe_pv	-0.19276919 	-12.40367025 	-8.42475833 	-16.91303778 	-20.91683485 	-1.37952106 	-0.78573914 	 1.55736140999999 	 5.88888859 	-2.44643566 	 9.89268566 	 2.93688246999999 	-1.0669146 			-1.37952106 	 0.59378192 	 2.34310054999999 	 2.87263859000001 	 2.87263859000001 	 1.76263859000001 	-1.76263859000001 
Fe_sv	-0.201687 	-12.46578932 	-8.51421746 	-16.9999683 	-21.03938805 	-1.43272232 	-0.86628046 	 1.47934869999999 	 5.9669013 	-2.56007105 	 10.00632105 	 2.91207102 	-1.12734872999999 			-1.43272232 	 0.56644186 	 2.34562915999999 	 2.95065130000001 	 2.95065130000001 	 1.84065130000001 	-1.84065130000001 
Ga	-0.05787465 	-12.6503723 	-6.21047623 	-16.33977121 	-16.43329616 	-1.76111765 	 1.29364841999999 	 1.99573343999999 	 5.45051655999999 	 1.90220848999999 	 5.54404151 	 3.75685108999999 	 3.66332613999999 			-1.76111765 	 3.05476606999999 	 0.70208502 	 2.43426656000001 	 3.05476606999999 	 1.94476606999999 	-1.94476606999999 
Hf	-2.7024302 	-16.53050264 	-14.12480948 	-26.37426391 	-26.37522084 	-2.99669244 	-3.97612928 	-5.39420371 	 12.84045371 	-5.39516064 	 12.84141064 	-2.39751127 	-2.3984682 			-2.99669244 	-0.97943684 	-1.41807443 	 9.82420371 	 9.82420371 	 8.71420371 	-8.71420371 
Hg	-0.00851104 	-8.10436149 	-2.19936515 	-12.49718903 	-12.57938003 	 2.73552954999999 	 5.25539588999999 	 5.78895200999999 	 1.65729799 	 5.70676100999999 	 1.73948899 	 3.05342246 	 2.97123146 			 2.73552954999999 	 2.51986634 	 0.53355612 	-1.35895200999999 	 2.73552954999999 	 1.62552954999999 	-1.62552954999999 
In_d	-0.06925548 	-12.16484781 	-5.65692472 	-15.93090546 	-15.99343277 	-1.26421232999999 	 1.85858075999999 	 2.41598001999999 	 5.03026998 	 2.35345270999999 	 5.09279729 	 3.68019234999999 	 3.61766503999999 			-1.26421232999999 	 3.12279308999998 	 0.55739926 	 2.01401998000001 	 3.12279308999998 	 2.01279308999998 	-2.01279308999998 
Ir	-0.13734433 	-12.06788742 	-8.24853722 	-16.71111158 	-16.6984467 	-1.09916309 	-0.66494289 	 1.70386274999999 	 5.74238725 	 1.71652762999999 	 5.72972237 	 2.80302584 	 2.81569071999999 			-1.09916309 	 0.4342202 	 2.36880563999999 	 2.72613725000001 	 2.72613725000001 	 1.61613725000001 	-1.61613725000001 
Mn_pv	-0.31013138 	-12.82456177 	-9.42564312 	-22.01182021 	-22.01082048 	-1.68305039 	-1.66926174 	-3.42405883 	 10.87030883 	-3.42305909999999 	 10.8693091 	-1.74100843999999 	-1.74000870999999 			-1.68305039 	 0.01378865 	-1.75479709 	 7.85405883 	 7.85405883 	 6.74405883 	-6.74405883 
Mo_sv	-0.27420994 	-13.32932514 	-11.12462254 	-23.78806783 	-23.79857317 	-2.2237352 	-3.4041626 	-5.23622789 	 12.68247789 	-5.24673323 	 12.69298323 	-3.01249269 	-3.02299803 			-2.2237352 	-1.1804274 	-1.83206529 	 9.66622789 	 9.66622789 	 8.55622789 	-8.55622789 
Nb_pv	-0.71407865 	-13.95937517 	-11.49806639 	-24.53141648 	-24.53300214 	-2.41391652 	-3.33773774 	-5.53970783 	 12.98595783 	-5.54129349 	 12.98754349 	-3.12579131 	-3.12737697 			-2.41391652 	-0.92382122 	-2.20197009 	 9.96970783 	 9.96970783 	 8.85970783 	-8.85970783 
Ni	-0.09829611 	-11.67000728 	-6.46558022 	-15.74899617 	-15.7490906 	-0.740331170000001 	 1.07896588999999 	 2.62692993999999 	 4.81932006 	 2.62683550999999 	 4.81941449 	 3.36726110999999 	 3.36716667999999 			-0.740331170000001 	 1.81929705999999 	 1.54796405 	 1.80307006000001 	 1.81929705999999 	 0.709297059999991 	-0.709297059999991 
Ni_pv	-0.08114357 	-11.67698467 	-6.4880312 	-15.75890455 	-15.75812694 	-0.7644611 	 1.03936236999999 	 2.59986901999999 	 4.84638098 	 2.60064662999999 	 4.84560337 	 3.36433011999999 	 3.36510772999999 			-0.7644611 	 1.80382346999999 	 1.56050665 	 1.83013098000001 	 1.83013098000001 	 0.72013098000001 	-0.72013098000001 
Os	-0.42675429 	-12.89720537 	-10.01677935 	-18.01964548 	-22.68529451 	-1.63907108 	-2.14377506 	 0.684738809999998 	 6.76151119 	-3.98091021999999 	 11.42716022 	 2.32380988999999 	-2.34183913999999 			-1.63907108 	-0.50470398 	 2.82851387 	 3.74526119 	 3.74526119 	 2.63526119 	-2.63526119 
Os_pv	-0.44032088 	-12.94567411 	-10.16570859 	-18.10682642 	-22.74257465 	-1.67397323 	-2.27913771 	 0.611124459999999 	 6.83512554 	-4.02462377 	 11.47087377 	 2.28509769 	-2.35065054 			-1.67397323 	-0.60516448 	 2.89026217 	 3.81887554 	 3.81887554 	 2.70887554 	-2.70887554 
Pb	-0.07102658 	-11.71617987 	-7.82144018 	-15.63979593 	-15.63833364 	-0.81377329 	-0.3041636 	 2.70886064999999 	 4.73738935 	 2.71032293999999 	 4.73592706 	 3.52263393999999 	 3.52409622999999 			-0.81377329 	 0.50960969 	 3.01302424999999 	 1.72113935000001 	 3.01302424999999 	 1.90302424999999 	-1.90302424999999 
Pd	-1.50236441 	-11.48770121 	-5.82354874 	-15.63481572 	-15.81735516 	 0.846043199999998 	 3.12506566999999 	 4.14517868999999 	 3.30107131 	 3.96263924999999 	 3.48361075 	 3.29913548999999 	 3.11659605 			 0.846043199999998 	 2.27902246999999 	 1.02011302 	 0.28482131000001 	 2.27902246999999 	 1.16902246999999 	-1.16902246999999 
Pd_pv	-1.52514155 	-11.48991518 	-5.82187675 	-15.63738689 	-15.82079707 	 0.866606369999999 	 3.14951479999999 	 4.16538465999999 	 3.28086534 	 3.98197448 	 3.46427551999999 	 3.29877828999999 	 3.11536811 			 0.866606369999999 	 2.28290842999999 	 1.01586986 	 0.26461534000001 	 2.28290842999999 	 1.17290842999999 	-1.17290842999999 
Pt	-0.20179701 	-11.31453583 	-6.44513802 	-15.54094304 	-15.53046326 	-0.281358820000001 	 1.20290898999999 	 2.93848396999999 	 4.50776603 	 2.94896374999999 	 4.49728625 	 3.21984278999999 	 3.23032257 			-0.281358820000001 	 1.48426780999999 	 1.73557498 	 1.49151603000001 	 1.73557498 	 0.62557498 	-0.62557498 
Pt_pv	-0.19369689 	-11.3579165 	-6.53304213 	-15.60078986 	-15.59063446 	-0.33283961 	 1.10690475999999 	 2.87053702999999 	 4.57571297 	 2.88069242999999 	 4.56555757 	 3.20337663999999 	 3.21353203999999 			-0.33283961 	 1.43974436999999 	 1.76363227 	 1.55946297000001 	 1.76363227 	 0.65363227 	-0.65363227 
Re	-1.03139573 	-13.80153323 	-11.58097151 	-24.0045064 	-24.00411783 	-1.9387575 	-3.10332578 	-4.69548067 	 12.14173067 	-4.6950921 	 12.1413421 	-2.75672317 	-2.75633459999999 			-1.9387575 	-1.16456828 	-1.59215489 	 9.12548067 	 9.12548067 	 8.01548067 	-8.01548067 
Rh	-0.97985001 	-11.98797404 	-7.38011666 	-16.32350621 	-16.48519063 	-0.17674403 	 1.04598334999999 	 2.93397379999999 	 4.5122762 	 2.77228937999999 	 4.67396062 	 3.11071782999999 	 2.94903340999999 			-0.17674403 	 1.22272737999999 	 1.88799045 	 1.49602620000001 	 1.88799045 	 0.77799045 	-0.77799045 
