element	E_M	E_HO	E_O	E_HOO	E_HOO2	ΔE1(eV)	ΔE2(eV)	ΔE3_HOO(eV)	ΔE4_HOO(eV)	ΔE3_HOO2(eV)	ΔE4_HOO2(eV)	ΔE_HOO−HO(eV)	ΔE_HOO2−HO(eV)									
Ag	-0.19111763 	-10.29282606 	-4.29033535 	-14.11523448 	-14.26002668 	 0.72967157 	 3.34703227999999 	 4.35351314999999 	 3.09273684999999 	 4.20872095 	 3.23752904999999 	 3.62384157999999 	 3.47904937999999 			 0.72967157 	 2.61736070999999 	 1.00648087 	 0.07648685000001 	 2.61736070999999 	 1.50736070999999 	-1.50736070999999 
Au	-0.1911546 	-10.26554657 	-4.57638497 	-14.04583163 	-14.32235203 	 0.75698803 	 3.06101962999999 	 4.42295296999999 	 3.02329703 	 4.14643257 	 3.29981742999999 	 3.66596493999999 	 3.38944453999999 			 0.75698803 	 2.30403159999999 	 1.36193334 	 7.04703000000961E-03 	 2.30403159999999 	 1.19403159999999 	-1.19403159999999 
Bi	-1.41124873 	-12.09183907 	-7.32842805 	-15.89705072 	-15.93176528 	 0.150789659999999 	 1.52907067999999 	 3.79182800999999 	 3.65442198999999 	 3.75711344999999 	 3.68913655 	 3.64103835 	 3.60632378999999 			 0.150789659999999 	 1.37828101999999 	 2.26275733 	 0.63817199000001 	 2.26275733 	 1.15275733 	-1.15275733 
Cd	-0.00929593 	-9.14537954 	-3.08375497 	-12.97101795 	-13.21705362 	 1.69529638999999 	 4.37179095999999 	 5.31590797999999 	 2.13034202 	 5.06987230999999 	 2.37637769 	 3.62061158999999 	 3.37457592 			 1.69529638999999 	 2.67649457 	 0.94411702 	-0.88590797999999 	 2.67649457 	 1.56649457 	-1.56649457 
Co	-1.80716419 	-13.26578421 	-8.76120967 	-17.26278507 	-17.29127763 	-0.62724002 	 0.492204519999999 	 2.82200911999999 	 4.62424087999999 	 2.79351655999999 	 4.65273343999999 	 3.44924913999999 	 3.42075657999999 			-0.62724002 	 1.11944454 	 2.32980459999999 	 1.60799088000001 	 2.32980459999999 	 1.21980459999999 	-1.21980459999999 
Co_pv	-1.76276333 	-13.17696692 	-8.65975703 	-17.17683787 	-17.20202663 	-0.58282359 	 0.549256299999999 	 2.86355545999999 	 4.58269454 	 2.8383667 	 4.60788329999999 	 3.44637904999999 	 3.42119029 			-0.58282359 	 1.13207989 	 2.31429915999999 	 1.56644454000001 	 2.31429915999999 	 1.20429915999999 	-1.20429915999999 
Co_sv	-1.84416422 	-13.32738984 	-8.82162403 	-17.32787916 	-17.3557934 	-0.651845620000001 	 0.468790189999998 	 2.79391506 	 4.65233493999999 	 2.76600081999999 	 4.68024918 	 3.44576068 	 3.41784644 			-0.651845620000001 	 1.12063581 	 2.32512487 	 1.63608494 	 2.32512487 	 1.21512487 	-1.21512487 
Cr_pv	-5.48971085 	-16.89278889 	-12.40116966 	-20.73014837 	-20.82803698 	-0.571698039999999 	 0.534791189999998 	 3.03719248 	 4.40905751999999 	 2.93930386999999 	 4.50694612999999 	 3.60889051999999 	 3.51100190999999 			-0.571698039999999 	 1.10648923 	 2.50240129 	 1.39280752 	 2.50240129 	 1.39240129 	-1.39240129 
Cu	-0.24969158 	-11.1332943 	-5.36385246 	-14.89825094 	-15.02047123 	-5.22227199999996E-02 	 2.33208911999999 	 3.62907063999999 	 3.81717936 	 3.50685034999999 	 3.93939965 	 3.68129335999999 	 3.55907306999999 			-5.22227199999996E-02 	 2.38431183999999 	 1.29698152 	 0.80092936000001 	 2.38431183999999 	 1.27431183999999 	-1.27431183999999 
Fe	-3.43509535 	-14.77215402 	-10.54835914 	-18.57050197 	-21.93780982 	-0.505678670000001 	 0.332986209999998 	 3.14222338 	 4.30402661999999 	-0.225084469999998 	 7.67133446999999 	 3.64790205 	 0.280594200000003 			-0.505678670000001 	 0.838664879999999 	 2.80923717 	 1.28777662 	 2.80923717 	 1.69923717 	-1.69923717 
Fe_pv	-3.31474602 	-14.67661376 	-10.47909158 	-18.4369975 	-21.93301559 	-0.530487740000001 	 0.281904439999998 	 3.15537851999999 	 4.29087148 	-0.34063957 	 7.78688957 	 3.68586625999999 	 0.189848170000001 			-0.530487740000001 	 0.812392179999999 	 2.87347407999999 	 1.27462148000001 	 2.87347407999999 	 1.76347407999999 	-1.76347407999999 
Fe_sv	-3.34605022 	-14.75673723 	-10.58417331 	-22.06804173 	-22.06652881 	-0.57930701 	 0.208126909999998 	-0.444361510000003 	 7.89061151 	-0.442848590000004 	 7.88909859 	 0.134945499999997 	 0.136458419999996 			-0.57930701 	 0.787433919999998 	-0.652488420000001 	 4.87436151 	 4.87436151 	 3.76436151 	-3.76436151 
Ga	-0.22681669 	-12.65037262 	-6.56017451 	-16.33964866 	-16.43334323 	-1.59217593 	 1.11289217999999 	 2.16479802999999 	 5.28145197 	 2.07110346 	 5.37514653999999 	 3.75697395999999 	 3.66327939 			-1.59217593 	 2.70506810999999 	 1.05190585 	 2.26520197000001 	 2.70506810999999 	 1.59506810999999 	-1.59506810999999 
Hf	-3.38036338 	-16.88304679 	-14.13415812 	-26.6731599 	-26.6742848 	-2.67130341 	-3.30754474 	-5.01516652 	 12.46141652 	-5.01629142 	 12.46254142 	-2.34386311 	-2.34498801 			-2.67130341 	-0.63624133 	-1.70762178 	 9.44516652 	 9.44516652 	 8.33516652 	-8.33516652 
Hg	-0.00851108 	-8.36838728 	-2.31942387 	-12.98556561 	-12.98755349 	 2.47150379999999 	 5.13533720999999 	 5.30057546999999 	 2.14567453 	 5.29858758999999 	 2.14766241 	 2.82907166999999 	 2.82708378999999 			 2.47150379999999 	 2.66383341 	 0.165238260000001 	-0.870575469999991 	 2.66383341 	 1.55383341 	-1.55383341 
In_d	-0.21570043 	-12.16484938 	-6.00942988 	-15.93090888 	-15.99349929 	-1.11776895 	 1.65252054999999 	 2.56242154999999 	 4.88382845 	 2.49983113999999 	 4.94641886 	 3.68019049999999 	 3.61760008999999 			-1.11776895 	 2.77028949999999 	 0.909901 	 1.86757845000001 	 2.77028949999999 	 1.66028949999999 	-1.66028949999999 
Ir	-1.56213353 	-12.84464685 	-8.80198813 	-17.0668775 	-17.11316098 	-0.45113332 	 0.206395399999999 	 2.77288602999999 	 4.67336397 	 2.72660254999999 	 4.71964745 	 3.22401934999999 	 3.17773586999999 			-0.45113332 	 0.657528719999999 	 2.56649062999999 	 1.65711397000001 	 2.56649062999999 	 1.45649062999999 	-1.45649062999999 
Mn_pv	-5.28366522 	-16.2315897 	-12.24294798 	-19.94284771 	-20.00917973 	-0.116544480000001 	 0.486967239999998 	 3.61844750999999 	 3.82780249 	 3.55211548999999 	 3.89413451 	 3.73499199 	 3.66865997 			-0.116544480000001 	 0.603511719999999 	 3.13148026999999 	 0.81155249000001 	 3.13148026999999 	 2.02148026999999 	-2.02148026999999 
Mo_sv	-4.72439975 	-16.13812211 	-12.36268658 	-20.03598462 	-20.12188445 	-0.582342360000002 	-0.192036830000001 	 2.96604512999999 	 4.48020487 	 2.88014529999999 	 4.5661047 	 3.54838748999999 	 3.46248766 			-0.582342360000002 	 0.390305530000001 	 3.15808195999999 	 1.46395487000001 	 3.15808195999999 	 2.04808195999999 	-2.04808195999999 
Nb_pv	-3.21227916 	-15.63855059 	-12.83570667 	-25.12550479 	-25.12506892 	-1.59489143 	-2.17717751 	-3.63559563 	 11.08184563 	-3.63515976 	 11.08140976 	-2.0407042 	-2.04026833 			-1.59489143 	-0.58228608 	-1.45841812 	 8.06559563 	 8.06559563 	 6.95559563 	-6.95559563 
Ni	-0.65750575 	-12.04376039 	-7.3146006 	-16.07391091 	-15.96485168 	-0.554874639999999 	 0.789155149999999 	 2.86122484 	 4.58502515999999 	 2.97028406999999 	 4.47596593 	 3.41609947999999 	 3.52515870999999 			-0.554874639999999 	 1.34402979 	 2.07206969 	 1.56877516 	 2.07206969 	 0.962069690000001 	-0.962069690000001 
Ni_pv	-0.69961172 	-12.03179491 	-7.32509132 	-16.071638 	-15.96263137 	-0.500803190000001 	 0.820770399999998 	 2.90560371999999 	 4.54064628 	 3.01461034999999 	 4.43163965 	 3.40640690999999 	 3.51541353999999 			-0.500803190000001 	 1.32157359 	 2.08483331999999 	 1.52439628000001 	 2.08483331999999 	 0.974833319999992 	-0.974833319999992 
Os	-2.98517978 	-14.2968771 	-10.51541902 	-23.01801838 	-23.01668984 	-0.480317320000001 	-8.39892400000001E-02 	-1.7552086 	 9.2014586 	-1.75388006 	 9.20013006 	-1.27489128 	-1.27356274 			-0.480317320000001 	 0.396328080000001 	-1.67121936 	 6.1852086 	 6.1852086 	 5.0752086 	-5.0752086 
Os_pv	-2.99860996 	-14.31912347 	-10.55627677 	-23.09016273 	-22.47943513 	-0.48913351 	-0.111416810000001 	-1.81392277 	 9.26017277 	-1.20319517 	 8.64944517 	-1.32478926 	-0.71406166 			-0.48913351 	 0.377716699999999 	-1.70250596 	 6.24392277 	 6.24392277 	 5.13392277 	-5.13392277 
Pb	-0.64821091 	-11.98520599 	-7.82144015 	-15.89431743 	-15.89317992 	-0.505615080000001 	 0.273020759999999 	 3.03152347999999 	 4.41472652 	 3.03266098999999 	 4.41358901 	 3.53713856 	 3.53827607 			-0.505615080000001 	 0.77863584 	 2.75850271999999 	 1.39847652000001 	 2.75850271999999 	 1.64850271999999 	-1.64850271999999 
Pd	-1.50236445 	-11.67853743 	-6.48449731 	-15.97190858 	-15.97323071 	 0.655207019999998 	 2.46411713999999 	 3.80808586999999 	 3.63816413 	 3.80676373999999 	 3.63948626 	 3.15287885 	 3.15155672 			 0.655207019999998 	 1.80891011999999 	 1.34396873 	 0.62191413000001 	 1.80891011999999 	 0.698910119999992 	-0.698910119999992 
Pd_pv	-1.52514155 	-11.68375609 	-6.4851139 	-15.97708083 	-15.97811171 	 0.67276546 	 2.48627764999999 	 3.82569071999999 	 3.62055928 	 3.82465983999999 	 3.62159016 	 3.15292525999999 	 3.15189437999999 			 0.67276546 	 1.81351218999999 	 1.33941307 	 0.60430928000001 	 1.81351218999999 	 0.70351218999999 	-0.70351218999999 
Pt	-0.57717373 	-11.58342166 	-7.19558915 	-15.78235562 	-15.7723531 	-0.174867930000001 	 0.827834579999999 	 3.07244810999999 	 4.37380189 	 3.08245062999999 	 4.36379937 	 3.24731603999999 	 3.25731856 			-0.174867930000001 	 1.00270251 	 2.24461352999999 	 1.35755189000001 	 2.24461352999999 	 1.13461352999999 	-1.13461352999999 
Pt_pv	-0.62349846 	-11.63138594 	-7.27829471 	-15.84092085 	-15.82833362 	-0.176507479999999 	 0.791453749999998 	 3.06020760999999 	 4.38604239 	 3.07279483999999 	 4.37345516 	 3.23671508999999 	 3.24930231999999 			-0.176507479999999 	 0.967961229999997 	 2.26875385999999 	 1.36979239000001 	 2.26875385999999 	 1.15875385999999 	-1.15875385999999 
Re	-4.76022638 	-15.90123207 	-12.08590074 	-24.62958374 	-24.90233119 	-0.30962569 	 0.120575639999999 	-1.59172736 	 9.03797736 	-1.86447481 	 9.31072481 	-1.28210167 	-1.55484912 			-0.30962569 	 0.430201329999999 	-1.712303 	 6.02172736 	 6.02172736 	 4.91172736 	-4.91172736 
Rh	-1.3368834 	-12.62209652 	-8.40968469 	-16.87077977 	-16.89567859 	-0.45383312 	 0.373448709999998 	 2.74373362999999 	 4.70251637 	 2.71883480999999 	 4.72741519 	 3.19756675 	 3.17266792999999 			-0.45383312 	 0.827281829999998 	 2.37028491999999 	 1.68626637000001 	 2.37028491999999 	 1.26028491999999 	-1.26028491999999 
Rh_pv	-1.31963248 	-12.59971257 	-8.41373359 	-16.86552768 	-16.88581795 	-0.448700089999999 	 0.352148889999999 	 2.73173479999999 	 4.7145152 	 2.71144452999999 	 4.73480547 	 3.18043488999999 	 3.16014461999999 			-0.448700089999999 	 0.800848979999998 	 2.37958590999999 	 1.69826520000001 	 2.37958590999999 	 1.26958590999999 	-1.26958590999999 
Ru	-2.58620115 	-13.66874729 	-9.9041593 	-18.03848339 	-21.34188703 	-0.251166140000002 	 0.128291849999999 	 2.82534775999999 	 4.62090223999999 	-0.478055879999999 	 7.92430587999999 	 3.0765139 	-0.226889739999997 			-0.251166140000002 	 0.379457990000001 	 2.69705590999999 	 1.60465224000001 	 2.69705590999999 	 1.58705590999999 	-1.58705590999999 
Ru_pv	-2.58616361 	-13.68983752 	-9.93444305 	-18.06851367 	-21.37154698 	-0.27229391 	 9.79705599999984E-02 	 2.79527993999999 	 4.65097006 	-0.507753370000003 	 7.95400337 	 3.06757384999999 	-0.235459460000003 			-0.27229391 	 0.370264469999998 	 2.69730937999999 	 1.63472006000001 	 2.69730937999999 	 1.58730937999999 	-1.58730937999999 
Ru_sv	-2.64958487 	-13.76517005 	-10.02958215 	-18.15661617 	-21.48977327 	-0.28420518 	 6.62527199999996E-02 	 2.77059869999999 	 4.6756513 	-0.562558400000003 	 8.0088084 	 3.05480387999999 	-0.278353220000003 			-0.28420518 	 0.3504579 	 2.70434597999999 	 1.65940130000001 	 2.70434597999999 	 1.59434597999999 	-1.59434597999999 
Sb	-1.52589009 	-12.44230411 	-7.94733216 	-16.19650864 	-16.22149757 	-8.50340200000001E-02 	 1.02480792999999 	 3.60701144999999 	 3.83923855 	 3.58202251999999 	 3.86422748 	 3.69204546999999 	 3.66705653999999 			-8.50340200000001E-02 	 1.10984194999999 	 2.58220352 	 0.82298855000001 	 2.58220352 	 1.47220352 	-1.47220352 
Sc_sv	-2.05940927 	-15.05234348 	-11.56822821 	-24.02102364 	-24.02103547 	-2.16155421 	-2.06256894 	-3.68398437 	 11.13023437 	-3.6839962 	 11.1302462 	-1.52243016 	-1.52244199 			-2.16155421 	 0.09898527 	-1.62141543 	 8.11398437 	 8.11398437 	 7.00398437 	-7.00398437 
Sn	-0.71018547 	-12.35244747 	-8.52494091 	-16.22585159 	-16.22415202 	-0.810881999999999 	-0.36850544 	 2.76196387999999 	 4.68428612 	 2.76366345 	 4.68258654999999 	 3.57284587999999 	 3.57454545 			-0.810881999999999 	 0.442376559999999 	 3.13046931999999 	 1.66803612000001 	 3.13046931999999 	 2.02046931999999 	-2.02046931999999 
Sn_d	-0.74152469 	-12.36223343 	-8.51220647 	-16.2326092 	-16.23249074 	-0.78932874 	-0.324431780000001 	 2.78654549 	 4.65970450999999 	 2.78666394999999 	 4.65958605 	 3.57587423 	 3.57599268999999 			-0.78932874 	 0.464896959999999 	 3.11097727 	 1.64345451 	 3.11097727 	 2.00097727 	-2.00097727 
