element	E_M	E_HO	E_O	E_HOO	delta_E1(eV)	delta_E2(eV)	delta_E3_HOO(eV)	delta_E4_HOO(eV)	delta_E_HOO-HO(eV)
Al	-650.41869978	-662.62914903	-656.60594848	-666.55709254	-1.3790692500000112	1.2590012999999445	2.1392372400000106	5.307012760000017	3.518306490000022
Bi	-644.80622995	-656.41615158	-654.1944366	-660.73754703	-0.7785416300000314	-1.94195665000003	2.3463129200000132	5.099937080000014	3.1248545500000446
Co	-651.17435028	-661.19333942	-656.22901828	-665.62043918	0.8123908599999687	2.3915820000000068	3.8315411000000488	3.614708899999979	3.01915024000008
Cu	-648.87460463	-657.24786157	-651.37722533	-661.63530149	2.4581230599999664	4.943629300000033	5.516933140000059	1.9293168599999682	3.058810080000093
Fe	-653.12213645	-662.84602676	-658.25242911	-667.14546738	1.1074896899999978	2.31595733999999	4.254299069999956	3.191950930000072	3.146809379999958
Ga	-649.58523534	-658.7326525	-653.0282967	-662.75699409	1.6839628400000812	4.003188639999998	5.105871250000018	2.34037875000001	3.4219084099999364
Hf	-655.99525338	-667.72840356	-663.42777305	-675.02013198	-0.9017701799999394	0.013730329999965818	-0.747248599999967	8.193498599999995	0.1545215799999724
In	-649.02470404	-656.39699315	-650.89659375	-660.5385618	3.4590908900000024	5.574360289999994	6.763772239999934	0.6824777600000935	3.3046813499999317
Ir	-652.30807425	-660.19597091	-654.8780114	-664.57100089	2.9434833399999754	4.876312850000012	6.014703359999952	1.4315466400000751	3.071220019999977
Mn	-654.71736039	-664.20138914	-659.50970816	-668.47963107	1.3473512500000062	2.653902230000007	4.51535931999997	2.930890680000058	3.1680080699999635
Mo	-653.83872741	-664.57858495	-661.55389799	-671.99873166	0.09152245999999664	-0.2689205799999499	0.11762575000006947	7.328624249999958	0.026103290000072832
Nb	-653.99696222	-665.18727958	-661.85323572	-673.33558304	-0.3589373599999952	-0.41002350000004384	-1.0609908199999616	8.50724081999999	-0.7020534599999664
Ni	-650.05054944	-659.22120337	-653.67158706	-663.61861587	1.6607260700000417	3.8252123800000746	4.709563570000068	2.73668642999996	3.048837500000026
Os	-653.81742631	-662.67237027	-658.24238871	-667.1977928	1.9764360399999852	3.0212875999999724	4.89726350999997	2.5489864900000576	2.9208274699999848
Pb	-646.62856072	-660.38974472	-654.68616106	-662.82815519	-2.929803999999958	-0.6113503400000226	2.078035530000033	5.3682144699999945	5.007839529999991
Pd	-649.28696533	-657.03735906	-651.55072974	-661.53076963	3.0809862700000714	5.182485590000091	6.033825700000033	1.4124242999999943	2.952839429999962
Pt	-650.02800215	-656.73370547	-651.38860937	-661.11112717	4.1256766800000015	6.085642779999979	7.194504979999987	0.2517450200000404	3.0688282999999856
Rh	-651.51467147	-659.62554174	-654.45613538	-664.04718972	2.7205097300000354	4.504786090000074	5.745111750000046	1.7011382499999819	3.0246020200000103
Ru	-650.5319165	-662.07300387	-657.36945422	-666.53355938	-0.7097073700000145	0.6087122799999989	2.2759871199999218	5.170262880000106	2.9856944899999363
Sb	-645.50898209	-656.90985236	-655.70865079	-661.15527355	-0.5694902699999282	-2.753418699999962	2.631338540000069	4.8149114599999585	3.2008288099999973
Sc	-654.81417349	-665.54339787	-659.93949675	-669.74531003	0.10215561999999423	2.32092674000004	3.346493459999987	4.09975654000004	3.244337839999993
Sn	-647.06672867	-656.17924055	-652.19070407	-660.18216993	1.718868119999943	2.322274599999936	5.162188739999987	2.2840612600000405	3.443320620000044
Sr	-650.8281099	-660.75457986	-654.32799256	-664.43601385	0.9049100399999226	3.9463673399999735	4.669726049999962	2.7765239500000654	3.7648160100000396
Ta	-655.04700429	-667.14742004	-663.6733789	-675.66780818	-1.2690357500000253	-1.1801246099999716	-2.3431738899999353	9.789423889999963	-1.07413813999991
Tc	-654.38279114	-663.70048478	-659.85050028	-668.72979492	1.5136863599999835	1.9785408599999883	3.9306262199999757	3.515623780000052	2.4169398599999923
Ti	-654.65407824	-666.06568388	-661.80574563	-670.18981719	-0.5802256400000623	0.29458260999994224	2.741891050000003	4.7043589500000245	3.3221166900000654
