element	E_M	E_HO	E_O	E_HOO	E_HOO2	ΔE1(eV)	ΔE2(eV)	ΔE3_HOO(eV)	ΔE4_HOO(eV)	ΔE3_HOO2(eV)	ΔE4_HOO2(eV)	ΔE_HOO−HO(eV)	ΔE_HOO2−HO(eV)									
Ag	-0.1911345 	-10.5126273 	-4.44962028 	-14.40979533 	-14.54867551 	 0.509887199999999 	 3.18776421999999 	 4.05896916999999 	 3.38728083 	 3.92008898999999 	 3.52616101 	 3.54908196999999 	 3.41020178999999 			 0.509887199999999 	 2.67787701999999 	 0.871204950000001 	 0.371030830000009 	 2.67787701999999 	 1.56787701999999 	-1.56787701999999 
Au	-0.19116831 	-10.51524254 	-4.75727896 	-14.37400761 	-14.65124609 	 0.50730577 	 2.88013934999999 	 4.09479069999999 	 3.3514593 	 3.81755221999999 	 3.62869778 	 3.58748492999999 	 3.31024644999999 			 0.50730577 	 2.37283357999999 	 1.21465135 	 0.33520930000001 	 2.37283357999999 	 1.26283357999999 	-1.26283357999999 
Bi	-1.41127393 	-12.38183451 	-7.55564085 	-16.27080911 	-16.31895819 	-0.139180579999999 	 1.30188307999999 	 3.41809482 	 4.02815517999999 	 3.36994573999999 	 4.07630426 	 3.5572754 	 3.50912631999999 			-0.139180579999999 	 1.44106365999999 	 2.11621174000001 	 1.01190518 	 2.11621174000001 	 1.00621174000001 	-1.00621174000001 
Cd	-0.00931467 	-9.37721715 	-3.26169229 	-13.5120183 	-13.51176928 	 1.46347751999999 	 4.19387237999999 	 4.77492636999999 	 2.67132363 	 4.77517538999999 	 2.67107461 	 3.31144884999999 	 3.31169786999999 			 1.46347751999999 	 2.73039486 	 0.58105399 	-0.344926369999991 	 2.73039486 	 1.62039486 	-1.62039486 
Co	-1.80718545 	-13.47970179 	-8.91103763 	-17.55364795 	-17.59422753 	-0.84113634 	 0.34239782 	 2.5311675 	 4.9150825 	 2.49058791999999 	 4.95566208 	 3.37230384 	 3.33172425999999 			-0.84113634 	 1.18353416 	 2.18876968 	 1.8988325 	 2.18876968 	 1.07876968 	-1.07876968 
Co_pv	-1.76278459 	-13.39094212 	-8.80953351 	-17.46724015 	-17.50387824 	-0.79677753 	 0.399501079999999 	 2.57317444 	 4.87307555999999 	 2.53653635 	 4.90971364999999 	 3.36995197 	 3.33331388 			-0.79677753 	 1.19627861 	 2.17367336 	 1.85682556 	 2.17367336 	 1.06367336 	-1.06367336 
Co_sv	-1.84418547 	-13.54169648 	-8.97144743 	-17.61839419 	-17.6594268 	-0.866131010000001 	 0.318988039999999 	 2.50342127999999 	 4.94282872 	 2.46238866999999 	 4.98386133 	 3.36955228999999 	 3.32851968 			-0.866131010000001 	 1.18511905 	 2.18443323999999 	 1.92657872000001 	 2.18443323999999 	 1.07443323999999 	-1.07443323999999 
Cr_pv	-5.48973847 	-17.13311946 	-12.58043841 	-21.05301549 	-21.17331444 	-0.812000990000001 	 0.355550059999999 	 2.71435297999999 	 4.73189702 	 2.59405402999999 	 4.85219597 	 3.52635396999999 	 3.40605502 			-0.812000990000001 	 1.16755105 	 2.35880291999999 	 1.71564702000001 	 2.35880291999999 	 1.24880291999999 	-1.24880291999999 
Cu	-0.2497048 	-11.32842977 	-5.49715316 	-15.17173345 	-15.29665265 	-0.24734497 	 2.19880163999999 	 3.35560134999999 	 4.09064865 	 3.23068214999999 	 4.21556785 	 3.60294631999999 	 3.47802711999999 			-0.24734497 	 2.44614660999999 	 1.15679971 	 1.07439865000001 	 2.44614660999999 	 1.33614660999999 	-1.33614660999999 
Fe	-3.43511501 	-14.97465382 	-10.6989821 	-18.84901349 	-22.28950754 	-0.70815881 	 0.182382909999999 	 2.86373151999999 	 4.58251848 	-0.576762529999999 	 8.02301252999999 	 3.57189032999999 	 0.13139628 			-0.70815881 	 0.890541719999999 	 2.68134860999999 	 1.56626848000001 	 2.68134860999999 	 1.57134860999999 	-1.57134860999999 
Fe_pv	-3.31476568 	-14.88958882 	-10.63006261 	-18.71504904 	-22.2857096 	-0.74344314 	 0.130953069999999 	 2.87734663999999 	 4.56890336 	-0.693313920000001 	 8.13956392 	 3.62078977999999 	 5.01292199999987E-02 			-0.74344314 	 0.874396209999999 	 2.74639356999999 	 1.55265336000001 	 2.74639356999999 	 1.63639356999999 	-1.63639356999999 
Fe_sv	-3.34606987 	-14.97019006 	-10.73487793 	-22.42072748 	-22.41379726 	-0.79274019 	 5.74419399999994E-02 	-0.79702761 	 8.24327761 	-0.790097389999999 	 8.23634738999999 	-4.2874200000007E-03 	 2.64280000000027E-03 			-0.79274019 	 0.850182129999999 	-0.854469549999999 	 5.22702761 	 5.22702761 	 4.11702761 	-4.11702761 
Ga	-0.22683615 	-12.89885312 	-6.74539511 	-16.81529819 	-16.81400271 	-1.84063697 	 0.927691039999999 	 1.68916795999999 	 5.75708204 	 1.69046343999999 	 5.75578656 	 3.52980492999999 	 3.53110040999999 			-1.84063697 	 2.76832801 	 0.761476919999991 	 2.74083204000001 	 2.76832801 	 1.65832801 	-1.65832801 
Hf	-3.38042398 	-17.19408101 	-14.39531458 	-27.23451215 	-27.23556294 	-2.98227703 	-3.5686406 	-5.57645817 	 13.02270817 	-5.57750896 	 13.02375896 	-2.59418114 	-2.59523193 			-2.98227703 	-0.58636357 	-2.00781757 	 10.00645817 	 10.00645817 	 8.89645817 	-8.89645817 
Hg	-0.00852561 	-8.59172384 	-2.49719629 	-13.16077252 	-13.15931999 	 2.24818176999999 	 4.95757931999999 	 5.12538308999999 	 2.32086691 	 5.12683561999999 	 2.31941438 	 2.87720131999999 	 2.87865384999999 			 2.24818176999999 	 2.70939755 	 0.16780377 	-0.69538308999999 	 2.70939755 	 1.59939755 	-1.59939755 
In_d	-0.21573144 	-12.44633069 	-6.23245995 	-16.31707628 	-16.41013742 	-1.39921924999999 	 1.42952148999999 	 2.17628515999999 	 5.26996483999999 	 2.08322401999999 	 5.36302598 	 3.57550440999999 	 3.48244326999999 			-1.39921924999999 	 2.82874073999998 	 0.74676367 	 2.25371484000001 	 2.82874073999998 	 1.71874073999998 	-1.71874073999998 
Ir	-1.56215635 	-13.12737523 	-9.01026397 	-17.43016844 	-17.49564179 	-0.73383888 	-1.85762000000089E-03 	 2.40961790999999 	 5.03663208999999 	 2.34414455999999 	 5.10210544 	 3.14345679 	 3.07798343999999 			-0.73383888 	 0.731981259999999 	 2.41147552999999 	 2.02038209000001 	 2.41147552999999 	 1.30147552999999 	-1.30147552999999 
Mn_pv	-5.28369745 	-16.45703917 	-12.40538982 	-20.24988048 	-24.1506361 	-0.341961720000002 	 0.324557629999999 	 3.31144696999999 	 4.13480303 	-0.589308650000003 	 8.03555865 	 3.65340868999999 	-0.24734693 			-0.341961720000002 	 0.666519350000001 	 2.98688933999999 	 1.11855303000001 	 2.98688933999999 	 1.87688933999999 	-1.87688933999999 
Mo_sv	-4.72443394 	-16.43223629 	-12.59594562 	-20.41322085 	-20.52416087 	-0.876422349999998 	-0.425261680000001 	 2.58884309 	 4.85740690999999 	 2.47790307 	 4.96834692999999 	 3.46526543999999 	 3.35432541999999 			-0.876422349999998 	 0.451160669999997 	 3.01410477 	 1.84115691 	 3.01410477 	 1.90410477 	-1.90410477 
Nb_pv	-3.2123392 	-15.9492764 	-13.1000766 	-25.64313301 	-25.64239867 	-1.9055572 	-2.44148739999999 	-4.15316381 	 11.59941381 	-4.15242947 	 11.59867947 	-2.24760661 	-2.24687227 			-1.9055572 	-0.53593019999999 	-1.71167641000001 	 8.58316381 	 8.58316381 	 7.47316381 	-7.47316381 
Ni	-0.65752864 	-12.26268266 	-7.46785432 	-16.36439745 	-16.28127586 	-0.773774019999999 	 0.635924319999999 	 2.57076119 	 4.87548880999999 	 2.65388277999999 	 4.79236722 	 3.34453521 	 3.42765679999999 			-0.773774019999999 	 1.40969834 	 1.93483687 	 1.85923881 	 1.93483687 	 0.824836870000001 	-0.824836870000001 
Ni_pv	-0.69963461 	-12.25065958 	-7.47833181 	-16.36201958 	-16.28095005 	-0.71964497 	 0.667552799999999 	 2.61524503 	 4.83100496999999 	 2.69631455999999 	 4.74993544 	 3.33489 	 3.41595952999999 			-0.71964497 	 1.38719777 	 1.94769223 	 1.81475497 	 1.94769223 	 0.837692230000001 	-0.837692230000001 
Os	-2.98520745 	-14.58842316 	-10.7316266 	-23.49233956 	-22.91272232 	-0.771835710000001 	-0.300169150000001 	-2.22950211 	 9.67575211 	-1.64988487 	 9.09613487 	-1.4576664 	-0.878049159999999 			-0.771835710000001 	 0.47166656 	-1.92933296 	 6.65950211 	 6.65950211 	 5.54950211 	-5.54950211 
Os_pv	-2.99863763 	-14.6107057 	-10.77254322 	-23.56532213 	-22.96652532 	-0.78068807 	-0.32765559 	-2.28905449999999 	 9.73530449999999 	-1.69025768999999 	 9.13650768999999 	-1.50836642999999 	-0.909569619999999 			-0.78068807 	 0.45303248 	-1.96139890999999 	 6.71905449999999 	 6.71905449999999 	 5.60905449999999 	-5.60905449999999 
Pb	-0.64824124 	-12.27331208 	-8.04749173 	-16.25546998 	-16.25542895 	-0.79369084 	 4.69995099999982E-02 	 2.67040125999999 	 4.77584874 	 2.67044229 	 4.77580770999999 	 3.46409209999999 	 3.46413313 			-0.79369084 	 0.840690349999998 	 2.62340174999999 	 1.75959874000001 	 2.62340174999999 	 1.51340174999999 	-1.51340174999999 
Pd	-1.50238877 	-11.94347923 	-6.67522203 	-16.3255845 	-16.3256884 	 0.390289539999999 	 2.27341674 	 3.45443426999999 	 3.99181573 	 3.45433036999999 	 3.99191963 	 3.06414472999999 	 3.06404082999999 			 0.390289539999999 	 1.8831272 	 1.18101752999999 	 0.97556573000001 	 1.8831272 	 0.773127200000001 	-0.773127200000001 
Pd_pv	-1.52516587 	-11.94865666 	-6.67584065 	-16.3310121 	-16.33104503 	 0.40788921 	 2.29557522 	 3.47178377 	 3.97446622999999 	 3.47175084 	 3.97449915999999 	 3.06389455999999 	 3.06386163 			 0.40788921 	 1.88768601 	 1.17620855 	 0.95821623 	 1.88768601 	 0.77768601 	-0.77768601 
Pt	-0.57718945 	-11.85250829 	-7.39048393 	-16.1275517 	-16.16068636 	-0.443938839999999 	 0.632955519999998 	 2.72726774999999 	 4.71898225 	 2.69413308999999 	 4.75211691 	 3.17120658999999 	 3.13807192999999 			-0.443938839999999 	 1.07689436 	 2.09431222999999 	 1.70273225000001 	 2.09431222999999 	 0.984312229999992 	-0.984312229999992 
Pt_pv	-0.62351419 	-11.9008567 	-7.47334704 	-16.18710167 	-16.21746272 	-0.445962510000001 	 0.596417149999998 	 2.71404251999999 	 4.73220748 	 2.68368146999999 	 4.76256853 	 3.16000502999999 	 3.12964397999999 			-0.445962510000001 	 1.04237966 	 2.11762536999999 	 1.71595748000001 	 2.11762536999999 	 1.00762536999999 	-1.00762536999999 
Re	-4.76026071 	-16.20782826 	-12.40502075 	-25.14347992 	-25.4142632 	-0.616187549999999 	-0.198510040000001 	-2.10558921 	 9.55183921 	-2.37637249 	 9.82262249 	-1.48940166 	-1.76018494 			-0.616187549999999 	 0.417677509999998 	-1.90707917 	 6.53558921 	 6.53558921 	 5.42558921 	-5.42558921 
Rh	-1.336912 	-12.89452222 	-8.61635961 	-17.21370694 	-17.25072641 	-0.726230220000001 	 0.166802389999999 	 2.40083505999999 	 5.04541494 	 2.36381558999999 	 5.08243440999999 	 3.12706527999999 	 3.09004581 			-0.726230220000001 	 0.89303261 	 2.23403266999999 	 2.02916494000001 	 2.23403266999999 	 1.12403266999999 	-1.12403266999999 
